source_table,source_sheet,source_column,series_name,region,subregion,product,metric,unit,period_type
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RO_IM0_R20-Z00_MBBLD,weekly Midwest (PADD 2) Imports from All Countries of Other Reformulated Motor Gasoline,Midwest,,Imports from All Countries of Other Reformulated Motor Gasoline,Imports from All Countries of Other Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RO_IM0_R30-Z00_MBBLD,weekly Gulf Coast (PADD 3) Imports from All Countries of Other Reformulated Motor Gasoline,Gulf Coast,,Imports from All Countries of Other Reformulated Motor Gasoline,Imports from All Countries of Other Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RO_IM0_R40-Z00_MBBLD,weekly Rocky Mountain (PADD 4) Imports from All Countries of Other Reformulated Motor Gasoline,Rocky Mountain,,Imports from All Countries of Other Reformulated Motor Gasoline,Imports from All Countries of Other Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RO_IM0_R50-Z00_MBBLD,weekly West Coast (PADD 5) Imports from All Countries of Other Reformulated Motor Gasoline,West Coast,,Imports from All Countries of Other Reformulated Motor Gasoline,Imports from All Countries of Other Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RO_YPB_NUS_MBBLD,weekly U.S. Blender Net Production of Other Reformulated Motor Gasoline,U.S.,,Blender Net Production of Other Reformulated Motor Gasoline,Blender Net Production of Other Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RO_YPT_NUS_MBBLD,weekly U.S. Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,U.S.,,Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RO_YPT_R10_MBBLD,weekly East Coast (PADD 1) Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,East Coast,,Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RO_YPT_R20_MBBLD,weekly Midwest (PADD 2) Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Midwest,,Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RO_YPT_R30_MBBLD,weekly Gulf Coast (PADD 3) Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Gulf Coast,,Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RO_YPT_R40_MBBLD,weekly Rocky Mountain (PADD 4) Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Rocky Mountain,,Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RO_YPT_R50_MBBLD,weekly West Coast (PADD 5) Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,West Coast,,Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
