period_month,padd1_distillate_product_supplied_kbd,northeast_share,southeast_share,estimated_padd_1ab_kbd,estimated_padd_1c_kbd,share_source
2023-06-01,1063.0,0.46045981148667153,0.5395401885133284,489.46877961033186,573.5312203896681,forward_3yr_same_month_average_adjusted
2023-07-01,911.0,0.45291677967460436,0.5470832203253957,412.6071862835646,498.39281371643546,forward_3yr_same_month_average_adjusted
2023-08-01,1109.0,0.45446597121707216,0.5455340287829279,504.00276207973303,604.997237920267,forward_3yr_same_month_average_adjusted
2023-09-01,980.0,0.4770381257696242,0.5229618742303758,467.4973632542317,512.5026367457682,forward_3yr_same_month_average_adjusted
2023-10-01,1079.0,0.4879682310753581,0.512031768924642,526.5177213303114,552.4822786696886,forward_3yr_same_month_average_adjusted
2023-11-01,1130.0,0.5246703444304558,0.47532965556954426,592.877489206415,537.122510793585,forward_3yr_same_month_average_adjusted
2023-12-01,1111.0,0.5704423590001204,0.42955764099987964,633.7614608491338,477.2385391508663,forward_3yr_same_month_average_adjusted
2024-01-01,1309.0,0.5862246390551594,0.41377536094484063,767.3680525232037,541.6319474767964,forward_3yr_same_month_average_adjusted
2024-02-01,1336.0,0.5708470955350445,0.4291529044649554,762.6517196348195,573.3482803651805,forward_3yr_same_month_average_adjusted
2024-03-01,1115.0,0.5272142973967874,0.47278570260321257,587.8439415974179,527.1560584025821,forward_3yr_same_month_average_adjusted
2024-04-01,1162.0,0.5019306582327875,0.49806934176721257,583.243424866499,578.756575133501,forward_3yr_same_month_average_adjusted
2024-05-01,1020.0,0.4796812413633729,0.520318758636627,489.2748661906404,530.7251338093596,forward_3yr_same_month_average_adjusted
2024-06-01,965.0,0.46045981148667153,0.5395401885133284,444.34371808463806,520.6562819153619,forward_3yr_same_month_average_adjusted
2024-07-01,1021.0,0.45291677967460436,0.5470832203253957,462.42803204777107,558.571967952229,forward_3yr_same_month_average_adjusted
2024-08-01,1028.0,0.45446597121707216,0.5455340287829279,467.1910184111502,560.8089815888499,forward_3yr_same_month_average_adjusted
2024-09-01,1027.0,0.4770381257696242,0.5229618742303758,489.918155165404,537.0818448345959,forward_3yr_same_month_average_adjusted
2024-10-01,1239.0,0.4879682310753581,0.512031768924642,604.5926383023686,634.4073616976314,forward_3yr_same_month_average_adjusted
2024-11-01,1088.0,0.5246703444304558,0.47532965556954426,570.8413347403359,517.1586652596642,forward_3yr_same_month_average_adjusted
2024-12-01,1270.0,0.5704423590001204,0.42955764099987964,724.4617959301529,545.5382040698471,forward_3yr_same_month_average_adjusted
2025-01-01,1477.0,0.5862246390551594,0.41377536094484063,865.8537918844705,611.1462081155296,forward_3yr_same_month_average_adjusted
2025-02-01,1437.0,0.5708470955350445,0.4291529044649554,820.307276283859,616.6927237161409,forward_3yr_same_month_average_adjusted
2025-03-01,1180.0,0.5272142973967874,0.47278570260321257,622.1128709282091,557.8871290717908,forward_3yr_same_month_average_adjusted
2025-04-01,1172.0,0.5019306582327875,0.49806934176721257,588.2627314488269,583.7372685511731,forward_3yr_same_month_average_adjusted
2025-05-01,951.0,0.4796812413633729,0.520318758636627,456.17686053656763,494.8231394634323,forward_3yr_same_month_average_adjusted
2025-06-01,1211.0,0.46045981148667153,0.5395401885133284,557.6168317103592,653.3831682896407,forward_3yr_same_month_average_adjusted
2025-07-01,1024.0,0.45291677967460436,0.5470832203253957,463.78678238679487,560.2132176132052,forward_3yr_same_month_average_adjusted
2025-08-01,1061.0,0.45446597121707216,0.5455340287829279,482.1883954613136,578.8116045386865,forward_3yr_same_month_average_adjusted
2025-09-01,1133.0,0.4770381257696242,0.5229618742303758,540.4841964969842,592.5158035030157,forward_3yr_same_month_average_adjusted
2025-10-01,1193.0,0.4879682310753581,0.512031768924642,582.1460996729022,610.8539003270979,forward_3yr_same_month_average_adjusted
2025-11-01,1201.0,0.5246703444304558,0.47532965556954426,630.1290836609774,570.8709163390226,forward_3yr_same_month_average_adjusted
2025-12-01,1424.0,0.5704423590001204,0.42955764099987964,812.3099192161715,611.6900807838286,forward_3yr_same_month_average_adjusted
2026-01-01,1518.0,0.5862246390551594,0.41377536094484063,889.889002085732,628.1109979142681,forward_3yr_same_month_average_adjusted
2026-02-01,1715.0,0.5708470955350445,0.4291529044649554,979.0027688426014,735.9972311573986,forward_3yr_same_month_average_adjusted
2026-03-01,1257.0,0.5272142973967874,0.47278570260321257,662.7083718277618,594.2916281722382,forward_3yr_same_month_average_adjusted
2026-04-01,1231.0,0.5019306582327875,0.49806934176721257,617.8766402845614,613.1233597154387,forward_3yr_same_month_average_adjusted
