section,card,display_row,source_column,display_name,unit,scale,format,stock_flag,allowed_missing,direction,sort_order
JET,Stocks,I,WKJSTP11,I Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,80
JET,Stocks,II,WKJSTP21,II Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,81
JET,Stocks,III,WKJSTP31,III Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,82
JET,Stocks,IV,WKJSTP41,IV Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,83
JET,Stocks,V,WKJSTP51,V Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,84
JET,Stocks,TOT,WKJSTUS1,TOT Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,85
JET,Production,I,WKJRPP12,I Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,86
JET,Production,II,WKJRPP22,II Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,87
JET,Production,III,WKJRPP32,III Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,88
JET,Production,IV,WKJRPP42,IV Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,89
JET,Production,V,WKJRPP52,V Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,90
JET,Production,TOT,WKJRPUS2,TOT Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,91
JET,Imports,I,WKJIM_R10-Z00_2,I Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,92
JET,Imports,II,WKJIM_R20-Z00_2,II Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,93
JET,Imports,III,WKJIM_R30-Z00_2,III Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,94
JET,Imports,IV,WKJIM_R40-Z00_2,IV Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,95
JET,Imports,V,WKJIM_R50-Z00_2,V Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,96
JET,Imports,TOT,WKJIMUS2,TOT Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,97
JET,Exports/Demand,EXP,WKJEXUS2,Exports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,98
JET,Exports/Demand,DEM,WKJUPUS2,Demand,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,99
JET,Yield,I,calc:yield:JET:I,I Yield,Percent,1.0,percent,false,false,higher_green,100
JET,Yield,II,calc:yield:JET:II,II Yield,Percent,1.0,percent,false,false,higher_green,101
JET,Yield,III,calc:yield:JET:III,III Yield,Percent,1.0,percent,false,false,higher_green,102
JET,Yield,IV,calc:yield:JET:IV,IV Yield,Percent,1.0,percent,false,false,higher_green,103
JET,Yield,V,calc:yield:JET:V,V Yield,Percent,1.0,percent,false,false,higher_green,104
JET,Yield,TOT,calc:yield:JET:TOT,TOT Yield,Percent,1.0,percent,false,false,higher_green,105
RFO,Stocks,I,WRESTP11,I Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,100
RFO,Stocks,II,WRESTP21,II Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,101
RFO,Stocks,III,WRESTP31,III Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,102
RFO,Stocks,IV,WRESTP41,IV Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,103
RFO,Stocks,V,WRESTP51,V Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,104
RFO,Stocks,TOT,WRESTUS1,TOT Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,105
RFO,Stocks,A,WREST1A1,A Stocks,Thousand Barrels,1000.0,mmb,true,true,lower_green,106
RFO,Stocks,B,WREST1B1,B Stocks,Thousand Barrels,1000.0,mmb,true,true,lower_green,107
RFO,Stocks,C,WREST1C1,C Stocks,Thousand Barrels,1000.0,mmb,true,true,lower_green,108
RFO,Production,I,WRERPP12,I Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,109
