period;originCountries;quantity
2023-03;Canada;105.44
2023-03;Nigeria;9.99
2023-04;Canada;96.65
2023-04;Colombia;9.67
2023-05;Canada;104.31
2023-06;Canada;79.68
2023-07;Canada;80.63
2023-08;Canada;91.05
2023-09;Canada;66.57
2023-09;Nigeria;10.31
2023-10;Canada;64.00
2023-11;Canada;69.12
2023-11;Qatar;10.62
2023-11;United Arab Emirates;10.50
2023-12;Canada;124.13
2023-12;Colombia;10.24
2023-12;India;26.00
2023-12;Oman;1.96
2023-12;Qatar;18.73
2023-12;Saudi Arabia;23.70
2024-01;Canada;114.78
2024-02;Canada;142.72
2024-02;Israel;10.50
2024-03;Canada;131.49
2024-03;Mexico;5.16
2024-04;Canada;103.66
2024-05;Canada;78.19
2024-06;Canada;91.13
2024-07;Canada;78.60
2024-08;Canada;102.03
2024-09;Canada;88.23
2024-10;Canada;97.06
2024-11;Canada;69.76
2024-12;Canada;127.21
2025-01;Canada;126.04
2025-01;Qatar;5.64
2025-01;Trinidad and Tobago;7.72
2025-02;Belgium;83.02
2025-02;Canada;114.91
2025-02;Kuwait;27.50
2025-02;Netherlands;6.22
2025-02;Qatar;7.73
2025-02;Saudi Arabia;1.20
2025-03;Belgium;23.41
2025-03;Canada;94.75
2025-03;Oman;10.67
2025-03;Qatar;2.65
2025-04;Canada;64.30
2025-05;Canada;81.18
2025-05;Nigeria;10.48
2025-06;Canada;82.16
2025-07;Canada;105.31
2025-08;Canada;99.27
2025-09;Canada;96.06
2025-10;Canada;58.89
2025-11;Canada;105.75
2025-12;Canada;146.35
2025-12;Mexico;22.22
2025-12;Qatar;11.14
2026-01;Canada;142.35
2026-01;Mexico;37.10
2026-02;Canada;130.87
2026-02;Mexico;60.17
2026-02;Netherlands;29.06
2026-02;Qatar;10.71
2026-03;Canada;116.53
2026-04;Canada;97.25
2026-05;Canada;115.85
2026-06;Canada;91.34
2026-07;Canada;42.93
