Date;Canada;India;South Korea;Kuwait;Saudi Arabia;United Arab Emirates;Nigeria;Japan;Italy;France;Qatar;Algeria;Spain;Bahamas;Colombia;United Kingdom;Greece;Venezuela;Denmark;United States Virgin Islands;Russian Federation;Netherlands;China;Belgium;Taiwan;Oman;Panama;Malaysia;Germany;Trinidad and Tobago;Mexico;Morocco;Angola;Period End Date
2022-11;4.04;0;31.33;20.94;0;0;0;8.68;0;0;0;0;10.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-11-30
2022-12;6.48;15.95;10.14;24.13;8.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-12-31
2023-01;6.71;0;0;18.92;3.23;6.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.04;0;0;0;0;0;2023-01-31
2023-02;4.64;41.80;11.17;48.85;7.07;0;0;0;0;0;0;0;0.22;0;0;11.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-02-28
2023-03;5.39;21.85;0;11.29;7.64;0;0;0;6.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-03-31
2023-04;12.31;0;17.68;19.33;25.17;0;0;18.55;7.80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-04-30
2023-05;17.18;16.31;10.13;15.49;0;18.60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-05-31
2023-06;4.07;0;0;31.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-06-30
2023-07;20.37;0;0;9.45;17.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-07-31
2023-08;12.77;0;4.02;6.77;0;0;0;0;0;0;0;0;0;0;0;1.89;0;0;0;0;0;0;0;0;0;0;0;5.17;0;0;0;0;0;2023-08-31
2023-09;4.17;33.20;6.53;34.87;0;0;0;0;0;0;0;8.33;0;0;3.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-09-30
2023-10;1.45;0;0;0;0;9.10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-10-31
2023-11;9.00;0;0;28.23;0;3.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-11-30
2023-12;10.16;28.74;0;19.74;15.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-12-31
2024-01;7.51;3.87;0;4.14;25.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2024-01-31
2024-02;6.62;0;6.38;11.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2024-02-29
2024-03;11.29;31.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2024-03-31
2024-04;4.40;0;8.09;0;0;5.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.77;0;0;0;0;0;0;0;0;0;0;0;2024-04-30
2024-05;8.89;40.85;10.15;15.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2024-05-31
2024-06;3.93;0;0.80;17.13;0;0;0;0;0;0;0;0;0;0;0;0;11.45;0;0;0;0;0;0;9.73;0;0;0;0;0;0;0;0;0;2024-06-30
2024-07;6.82;0;24.80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2024-07-31
2024-08;11.52;0;17.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2024-08-31
2024-09;4.10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2024-09-30
2024-10;1.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2024-10-31
2024-11;7.33;0;0;0;0;0;10.70;0;0;0;0;0;0;5.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2024-11-30
2024-12;9.56;0;0;0;0;0;0;0;0;0;0;0;0;5.13;0;0;0;0;0;0;0;0;0;0.26;0;0;0;0;0.38;0;0;0;0;2024-12-31
2025-01;11.42;18.21;0;9.71;0;0;0;0;0;10.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.28;0;0;0;2025-01-31
2025-02;9.11;25.01;12.71;11.13;0;0;0;0;0;0;0;0;0;5.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-02-28
2025-03;19.98;0;19.87;0;0;0;55.40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-03-31
2025-04;14.50;0;0;0;0;0;25.20;0;0;0;0;0;0;4.43;0;0;0;0;0;0;0;0;0;0.26;0;0;0;0;0;0;0;0;0;2025-04-30
