Date;Latin America;North West Europe Zone;MED Zone (MED Sea+Black Sea);Unknown;Other North Africa;Western Africa;East Coast Canada;Southern Africa;Oceania;Eastern Asia;South-East Asia;West Coast Canada;South-Central Asia;Other Southern Europe;Eastern Africa;Other Middle East;Mideast Gulf;Period End Date
2019-12-20;642.80;0;47.44;28.05;45.91;0;0;0;0;0;0;0;0;0;0;0;0;2019-12-20
2019-12-27;975.27;141.66;25.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-12-27
2020-01-03;1007.88;71.00;48.51;13.13;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-01-03
2020-01-10;872.64;63.13;0;13.28;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-01-10
2020-01-17;574.32;86.03;0;54.57;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-01-17
2020-01-24;847.40;63.39;0;5.02;42.42;0;0;0;0;0;9.14;0;0;0;0;0;0;2020-01-24
2020-01-31;970.18;23.48;63.95;15.71;72.61;63.37;0;0;0;0;0;0;0;0;0;0;0;2020-01-31
2020-02-07;545.37;90.74;66.96;1.96;141.54;45.25;0;0;0;0;0;0;0;0;0;0;0;2020-02-07
2020-02-14;752.65;19.67;0;23.79;0;66.20;0;0;0;0;0;0;0;0;0;0;0;2020-02-14
2020-02-21;769.13;0;87.40;27.31;64.26;0;0;0;0;0;0;0;0;0;0;0;0;2020-02-21
2020-02-28;1026.35;201.07;222.07;3.60;0;43.41;0;0;0;0;0;0;0;0;0;0;0;2020-02-28
2020-03-06;915.84;119.11;0;2.58;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-03-06
2020-03-13;891.95;0;0;26.44;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-03-13
2020-03-20;765.75;0;0;18.69;0;0;0;0;0;0.43;0;0;0;0;0;0;0;2020-03-20
2020-03-27;1026.10;6.50;0;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-03-27
2020-04-03;1126.45;20.87;0;6.62;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-04-03
2020-04-10;755.24;49.35;0;54.50;0;0;0;0;26.37;0;0;0;0;0;0;0;0;2020-04-10
2020-04-17;519.63;131.41;0;61.50;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-04-17
2020-04-24;394.12;51.20;43.63;0;0;90.04;0;0;0;0;0;0;0;0;0;0;0;2020-04-24
2020-05-01;515.55;44.61;84.47;16.66;0;0;0.11;0;0;36.28;0;0;0;0;0;0;0;2020-05-01
