Date;Latin America;North West Europe Zone;MED Zone (MED Sea+Black Sea);Other North Africa;Unknown;Western Africa;East Coast Canada;Southern Africa;Oceania;South-Central Asia;South-East Asia;Eastern Asia;Eastern Africa;Other Southern Europe;Other Middle East;West Coast Canada;Mideast Gulf;Period End Date
2019-05-17;647.13;50.52;0;0;25.25;26.72;39.21;0;0;0;0;0;0;0;0;0;0;2019-05-17
2019-05-24;752.81;183.93;20.68;164.36;45.64;2.84;0;0;0;0;0;0;0;0;0;0;0;2019-05-24
2019-05-31;748.69;114.62;48.27;0;37.73;42.92;0;0;0;0;0;0;0;0;0;0;0;2019-05-31
2019-06-07;632.50;195.35;49.21;44.47;6.88;110.82;0;0;0;0;0;0;0;0;0;0;0;2019-06-07
2019-06-14;782.13;155.61;122.76;38.97;19.08;0;0;0;0;0;0;0;0;0;0;0;0;2019-06-14
2019-06-21;616.35;298.87;0;46.90;62.93;0;0;0;0;0;0;0;0;0;0;0;0;2019-06-21
2019-06-28;1005.94;132.42;86.37;73.95;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-06-28
2019-07-05;675.86;44.30;50.39;106.53;64.35;45.28;0;0;0;0;0;0;0;0;0;0;0;2019-07-05
2019-07-12;796.95;61.95;6.71;0;17.66;0;37.52;0;0;0;0;0;0;0;0;0;0;2019-07-12
2019-07-19;604.79;100.20;51.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-07-19
2019-07-26;999.18;113.08;130.68;0;46.47;0;36.61;0;0;0;0;0;0;0;0;0;0;2019-07-26
2019-08-02;599.17;52.02;248.93;9.78;7.14;0;0;0;0;0;0;0;0;0;0;0;0;2019-08-02
2019-08-09;915.73;117.88;150.08;96.31;39.68;0;0;0;0;0;0;0;0;0;0;0;0;2019-08-09
2019-08-16;748.51;156.66;117.50;57.06;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-08-16
2019-08-23;864.52;170.15;87.97;92.04;9.12;0;0;0;0;0;0;0;0;0;0;0;0;2019-08-23
2019-08-30;900.25;181.17;133.09;43.38;2.87;0;0;0;0;0;0;0;0;0;0;0;0;2019-08-30
2019-09-06;989.61;42.07;86.58;0;74.21;0;0;0;0;0;0;0;0;0;0;0;0;2019-09-06
2019-09-13;791.29;102.28;0;45.01;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-09-13
2019-09-20;1143.39;4.53;0;0;2.61;0;0;0;0;0;0;0;0;0;0;0;0;2019-09-20
2019-09-27;909.02;63.51;0;46.57;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-09-27
2019-10-04;898.50;0;87.27;0;0;0;92.20;0;0;0;0;0;0;0;0;0;0;2019-10-04
2019-10-11;850.62;3.69;30.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-10-11
2019-10-18;874.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-10-18
2019-10-25;580.88;0;0;0;53.59;0;35.71;0;0;0;0;0;0;0;0;0;0;2019-10-25
2019-11-01;759.25;90.64;0;0.10;4.85;0;0;0;0;0;0;0;0;0;0;0;0;2019-11-01
2019-11-08;520.78;2.35;96.95;46.90;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-11-08
