period;originCountries;quantity
2021-05-21;Greece;41.36
2021-05-21;United Kingdom;41.80
2021-05-28;Canada;6.43
2021-05-28;South Korea;41.48
2021-05-28;United Kingdom;29.85
2021-05-28;United States Virgin Islands;20.73
2021-06-04;France;38.33
2021-06-04;Italy;41.26
2021-06-04;Kuwait;37.68
2021-06-04;Saudi Arabia;39.57
2021-06-04;South Korea;29.29
2021-06-04;United Kingdom;11.65
2021-06-11;Canada;12.74
2021-06-11;Greece;33.71
2021-06-11;Japan;44.87
2021-06-11;Kuwait;48.60
2021-06-11;South Korea;89.97
2021-06-11;United Arab Emirates;46.57
2021-06-18;Canada;19.29
2021-06-25;Canada;4.57
2021-06-25;India;45.13
2021-06-25;South Korea;69.77
2021-07-02;Canada;0.00
2021-07-02;India;26.73
2021-07-02;Canada;12.86
2021-07-02;India;26.73
2021-07-02;Italy;40.64
2021-07-02;Oman;25.62
2021-07-02;United Arab Emirates;20.98
2021-07-09;Canada;12.86
2021-07-16;Canada;4.29
2021-07-16;India;27.06
2021-07-16;Saudi Arabia;62.29
2021-07-16;Trinidad and Tobago;7.74
2021-07-16;United Kingdom;32.89
2021-07-23;Canada;12.86
2021-07-23;India;43.20
2021-07-23;Italy;40.65
2021-07-23;United Kingdom;10.12
2021-07-30;Canada;19.28
2021-07-30;France;20.63
2021-08-06;Canada;14.28
2021-08-06;France;22.57
2021-08-13;Belgium;41.10
2021-08-13;Canada;5.25
2021-08-13;India;57.71
2021-08-13;Kuwait;12.38
2021-08-20;Bahamas;20.83
2021-08-20;Canada;6.43
2021-08-20;India;73.02
2021-08-20;Kuwait;22.73
2021-08-27;Algeria;45.74
2021-08-27;Canada;6.43
2021-08-27;Kuwait;43.60
2021-09-03;Canada;6.43
2021-09-03;France;47.47
2021-09-03;India;50.37
2021-09-03;Kuwait;5.74
2021-09-10;Denmark;41.87
2021-09-10;France;41.84
2021-09-17;Denmark;3.93
2021-09-17;India;16.89
2021-09-17;Japan;32.61
2021-09-17;Kuwait;58.14
2021-09-24;Canada;6.43
2021-09-24;France;35.51
2021-09-24;India;93.00
2021-10-01;India;78.81
2021-10-01;Oman;18.06
2021-10-01;Saudi Arabia;30.94
2021-10-01;South Korea;40.21
2021-10-08;Canada;6.43
2021-10-08;France;40.59
2021-10-08;India;41.47
2021-10-08;Italy;43.75
2021-10-08;Kuwait;7.14
2021-10-08;Oman;25.54
2021-10-08;South Korea;22.86
2021-10-15;Denmark;42.14
2021-10-15;South Korea;60.64
2021-10-15;Spain;43.88
2021-10-22;Denmark;2.52
2021-10-22;India;55.71
2021-10-22;Saudi Arabia;57.14
2021-10-29;Denmark;49.34
2021-10-29;France;41.41
2021-10-29;India;16.11
2021-10-29;Saudi Arabia;14.43
2021-10-29;South Korea;46.15
2021-11-05;Japan;10.71
2021-11-12;Canada;6.43
2021-11-12;India;30.71
2021-11-12;Japan;13.71
2021-11-19;India;21.11
2021-11-19;Japan;24.92
2021-11-19;Kuwait;45.71
2021-11-19;Mexico;17.86
2021-11-19;Panama;7.86
2021-11-26;Canada;6.09
2021-11-26;India;20.37
2021-12-03;Canada;14.29
2021-12-03;Russian Federation;22.73
2021-12-10;Canada;19.29
2021-12-10;India;52.71
2021-12-10;Japan;11.80
2021-12-10;Russian Federation;22.73
2021-12-10;Saudi Arabia;94.94
2021-12-17;Canada;12.86
2021-12-17;India;42.85
2021-12-17;Saudi Arabia;14.29
2021-12-24;Canada;6.43
2021-12-24;India;70.29
2021-12-24;Saudi Arabia;21.34
2021-12-31;Canada;12.43
2021-12-31;India;2.86
2021-12-31;Kuwait;54.14
2022-01-07;Canada;13.18
2022-01-21;Kuwait;108.34
2022-01-21;Qatar;61.65
2022-01-21;Saudi Arabia;46.91
2022-01-28;Canada;4.53
2022-01-28;Kuwait;14.13
2022-01-28;Qatar;15.00
2022-02-04;India;30.43
2022-02-11;Canada;6.43
2022-02-18;United Arab Emirates;39.00
2022-02-25;Kuwait;38.53
2022-02-25;South Korea;41.43
2022-03-04;Canada;6.43
2022-03-04;Saudi Arabia;71.77
2022-03-04;South Korea;82.36
2022-03-11;Japan;7.14
2022-03-18;Canada;18.95
2022-03-18;Japan;35.21
2022-03-18;Kuwait;43.96
2022-03-25;Canada;10.00
2022-03-25;South Korea;18.07
2022-04-01;Canada;12.86
2022-04-08;Canada;12.57
2022-04-15;Canada;10.29
2022-04-15;India;11.43
2022-04-22;China;21.61
2022-04-22;France;20.78
2022-04-22;India;53.57
2022-04-22;Morocco;17.13
2022-04-29;Canada;12.86
2022-04-29;France;28.56
2022-04-29;India;57.80
2022-05-06;Canada;25.14
2022-05-13;Canada;12.86
2022-05-20;Canada;13.18
2022-05-27;Canada;11.00
2022-05-27;India;44.29
2022-05-27;Kuwait;28.61
2022-06-03;Canada;12.86
2022-06-10;Canada;6.43
2022-06-17;Canada;7.88
2022-06-17;Kuwait;42.32
2022-06-24;Canada;1.79
2022-07-01;Canada;6.43
2022-07-08;Canada;18.95
2022-07-08;India;23.71
2022-07-08;South Korea;44.60
2022-07-15;Canada;12.86
2022-07-22;Canada;19.29
2022-07-29;Canada;2.14
2022-08-12;Canada;12.86
2022-08-19;Canada;6.43
2022-08-26;India;36.45
2022-09-02;Canada;19.29
2022-09-02;India;43.10
2022-09-16;Canada;6.43
2022-09-16;India;34.24
2022-09-23;Canada;7.86
2022-09-30;Canada;6.43
2022-10-07;Bahamas;30.03
2022-10-07;Canada;16.12
2022-10-07;Kuwait;35.14
2022-10-14;Canada;12.86
2022-10-14;South Korea;34.95
2022-10-21;Canada;10.00
2022-10-21;India;29.29
2022-10-21;Kuwait;72.17
2022-10-28;India;21.66
2022-10-28;Kuwait;71.87
2022-11-04;Algeria;41.42
2022-11-04;Spain;42.97
2022-11-11;Kuwait;46.15
2022-11-11;South Korea;91.30
2022-11-11;Spain;46.91
2022-11-18;Canada;4.57
2022-11-18;Japan;37.22
2022-11-18;Kuwait;43.57
2022-11-25;Canada;6.43
2022-12-02;Canada;12.74
2022-12-02;South Korea;42.97
2022-12-09;Canada;4.57
2022-12-09;Kuwait;14.29
2022-12-09;Saudi Arabia;36.43
2022-12-16;Canada;7.15
2022-12-16;India;34.71
2022-12-16;Kuwait;92.58
2022-12-23;Canada;10.57
2022-12-23;South Korea;44.93
2022-12-30;India;35.91
2023-01-06;Canada;11.43
2023-01-06;United Arab Emirates;28.14
2023-01-13;Canada;5.43
2023-01-13;Kuwait;38.27
2023-01-20;Canada;6.43
2023-01-20;Kuwait;7.59
2023-01-27;Canada;6.43
2023-01-27;Kuwait;37.94
2023-02-03;India;86.86
2023-02-03;Malaysia;35.59
2023-02-03;Saudi Arabia;42.57
2023-02-10;India;38.20
2023-02-10;Kuwait;20.92
2023-02-10;United Kingdom;44.20
2023-02-17;Canada;12.14
2023-02-17;India;42.14
2023-02-17;Kuwait;129.01
2023-02-17;Spain;0.90
2023-02-24;Canada;6.43
2023-02-24;South Korea;44.69
2023-03-03;Kuwait;45.46
2023-03-10;Canada;6.43
2023-03-10;Italy;29.91
2023-03-17;India;38.31
2023-03-17;Kuwait;50.00
2023-03-24;Canada;17.43
2023-03-24;India;34.35
2023-03-31;India;24.10
2023-03-31;Saudi Arabia;33.82
2023-04-07;Canada;25.35
2023-04-07;Italy;16.70
2023-04-07;South Korea;30.78
2023-04-14;Italy;16.71
2023-04-14;Japan;37.21
2023-04-14;Kuwait;10.71
2023-04-14;Saudi Arabia;62.86
2023-04-14;South Korea;45.00
2023-04-21;Canada;17.43
2023-04-21;Kuwait;72.11
2023-04-28;Canada;10.00
2023-04-28;Japan;42.27
2023-04-28;Saudi Arabia;45.00
2023-05-05;Canada;16.86
2023-05-12;Canada;19.23
2023-05-12;India;18.57
2023-05-12;South Korea;44.86
2023-05-12;United Arab Emirates;82.35
2023-05-19;Canada;25.71
2023-05-19;India;53.65
2023-05-26;Canada;7.86
2023-05-26;Kuwait;68.62
2023-06-02;Canada;6.43
2023-06-23;Canada;6.43
2023-06-23;Kuwait;42.17
2023-06-30;Canada;11.00
2023-06-30;Kuwait;91.88
2023-07-07;Canada;21.72
2023-07-07;Saudi Arabia;48.00
2023-07-14;Canada;12.75
2023-07-14;Saudi Arabia;28.57
2023-07-21;Canada;42.91
2023-07-28;Canada;12.86
2023-08-04;Canada;12.86
2023-08-04;Kuwait;71.82
2023-08-11;Canada;11.57
2023-08-18;Canada;6.43
2023-08-18;United Kingdom;8.38
2023-08-25;Canada;12.86
2023-09-01;Canada;12.86
2023-09-01;Malaysia;22.88
2023-09-01;South Korea;17.79
2023-09-08;South Korea;28.00
2023-09-15;Canada;11.86
2023-09-15;India;28.57
2023-09-15;Kuwait;43.29
2023-09-22;Algeria;35.71
2023-09-22;Colombia;14.06
2023-09-22;India;61.99
2023-09-29;Canada;6.00
2023-09-29;India;51.70
2023-09-29;Kuwait;66.65
2023-10-06;Canada;6.43
2023-10-06;Kuwait;39.52
2023-10-13;United Arab Emirates;40.29
2023-11-10;United Arab Emirates;15.55
2023-11-17;Canada;12.86
