period;originCountries;quantity
2021-10;Colombia;6.72
2021-10;India;23.86
2021-10;Kuwait;12.31
2021-10;Latvia;21.53
2021-10;Netherlands;20.79
2021-10;Nigeria;10.00
2021-10;Norway;16.35
2021-10;Oman;11.67
2021-10;Qatar;20.05
2021-10;Saudi Arabia;31.09
2021-10;South Korea;11.20
2021-10;United States Virgin Islands;1.60
2021-11;Canada;91.37
2021-11;Colombia;25.04
2021-11;India;24.92
2021-11;Malaysia;5.31
2021-11;Netherlands;48.71
2021-11;Nigeria;10.95
2021-11;Oman;0.67
2021-11;Qatar;26.73
2021-11;Russian Federation;56.90
2021-11;Singapore Republic;5.26
2021-11;South Korea;0.97
2021-11;Spain;11.51
2021-11;United Kingdom;1.41
2021-12;Brazil;0.91
2021-12;Canada;133.16
2021-12;Colombia;9.20
2021-12;India;12.51
2021-12;Japan;10.94
2021-12;Oman;26.04
2021-12;Qatar;6.96
2021-12;Russian Federation;10.87
2021-12;Saudi Arabia;12.10
2021-12;South Korea;26.22
2021-12;Taiwan;9.14
2022-01;Bahamas;0.23
2022-01;Canada;118.38
2022-01;Netherlands;24.31
2022-01;Qatar;34.56
2022-01;South Korea;13.28
2022-02;Belgium;17.67
2022-02;Canada;116.51
2022-02;Latvia;19.38
2022-02;Netherlands;28.69
2022-02;Nigeria;11.05
2022-02;Qatar;23.54
2022-02;Russian Federation;55.98
2022-02;Saudi Arabia;51.71
2022-02;South Korea;1.57
2022-03;Canada;99.32
2022-03;Netherlands;31.41
2022-03;Oman;4.64
2022-03;Qatar;22.05
2022-03;South Korea;11.59
2022-04;Canada;91.51
2022-04;France;3.87
2022-04;Netherlands;0.74
2022-04;South Korea;2.04
2022-05;Canada;82.56
2022-05;Curacao;1.75
2022-05;Netherlands;31.65
2022-05;Nigeria;10.00
2022-05;Portugal;8.26
2022-05;Saudi Arabia;6.45
2022-05;South Korea;14.10
2022-05;Sweden;9.10
2022-06;Brazil;0.99
2022-06;Canada;51.51
2022-06;Japan;2.98
2022-06;Saudi Arabia;19.21
2022-07;Brazil;0.76
2022-07;Canada;138.03
2022-07;Colombia;9.23
2022-07;Russian Federation;11.34
2022-07;South Korea;1.44
2022-08;Brazil;0.70
2022-08;Canada;117.92
2022-08;Colombia;10.01
2022-08;Japan;2.33
2022-08;South Korea;21.46
2022-09;Canada;93.33
2022-09;Russian Federation;11.51
2022-10;Canada;70.18
2022-10;Japan;11.14
2022-10;Malaysia;23.97
2022-10;Qatar;19.86
2022-10;Russian Federation;1.68
2022-10;South Korea;2.73
2022-11;Brazil;0.78
2022-11;Canada;83.37
2022-11;Japan;8.70
2022-11;Netherlands;28.32
2022-11;Oman;16.44
2022-11;Russian Federation;1.93
2022-11;South Korea;1.73
2022-12;Brazil;2.42
2022-12;Canada;127.52
2022-12;India;30.86
2022-12;Netherlands;17.40
2022-12;Qatar;7.94
2022-12;Russian Federation;8.62
2022-12;South Korea;1.23
2023-01;Canada;157.15
2023-01;India;87.88
2023-01;Netherlands;10.02
2023-01;Oman;5.88
2023-01;Qatar;18.75
2023-01;Singapore Republic;6.71
2023-01;South Korea;1.68
2023-02;Canada;103.55
2023-02;Colombia;11.42
2023-02;India;27.71
2023-02;Netherlands;14.69
2023-02;Qatar;11.58
2023-02;Saudi Arabia;26.79
