Date;Total;Period End Date
2024-06-07;116.39;2024-06-07
2024-06-14;92.50;2024-06-14
2024-06-21;45.57;2024-06-21
2024-06-28;153.87;2024-06-28
2024-07-05;44.61;2024-07-05
2024-07-12;68.28;2024-07-12
2024-07-19;141.94;2024-07-19
2024-07-26;106.68;2024-07-26
2024-08-02;139.67;2024-08-02
2024-08-09;170.98;2024-08-09
2024-08-16;91.44;2024-08-16
2024-08-23;197.38;2024-08-23
2024-08-30;88.50;2024-08-30
2024-09-06;72.47;2024-09-06
2024-09-13;35.98;2024-09-13
2024-09-20;14.32;2024-09-20
2024-09-27;115.60;2024-09-27
2024-10-04;139.38;2024-10-04
2024-10-11;49.34;2024-10-11
2024-10-18;178.21;2024-10-18
2024-10-25;92.20;2024-10-25
2024-11-01;137.94;2024-11-01
2024-11-08;97.67;2024-11-08
2024-11-15;44.29;2024-11-15
2024-11-22;173.74;2024-11-22
2024-11-29;162.80;2024-11-29
2024-12-06;157.70;2024-12-06
2024-12-13;65.00;2024-12-13
2024-12-20;65.71;2024-12-20
2024-12-27;249.84;2024-12-27
2025-01-03;206.70;2025-01-03
2025-01-10;62.65;2025-01-10
2025-01-17;251.18;2025-01-17
2025-01-24;92.12;2025-01-24
2025-01-31;45.71;2025-01-31
2025-02-07;195.60;2025-02-07
2025-02-14;24.29;2025-02-14
2025-02-21;173.86;2025-02-21
2025-02-28;65.00;2025-02-28
2025-03-07;87.86;2025-03-07
2025-03-14;46.63;2025-03-14
2025-03-21;108.80;2025-03-21
2025-03-28;117.69;2025-03-28
2025-04-04;223.51;2025-04-04
2025-04-11;35.71;2025-04-11
2025-04-18;44.29;2025-04-18
2025-04-25;44.29;2025-04-25
2025-05-02;74.00;2025-05-02
2025-05-09;20.71;2025-05-09
2025-05-16;66.43;2025-05-16
2025-05-23;0.00;2025-05-23
2025-05-30;46.66;2025-05-30
2025-06-06;0.00;2025-06-06
2025-06-13;64.29;2025-06-13
2025-06-20;42.86;2025-06-20
2025-06-27;16.53;2025-06-27
2025-07-04;95.96;2025-07-04
2025-07-11;163.63;2025-07-11
2025-07-18;67.51;2025-07-18
2025-07-25;53.47;2025-07-25
2025-08-01;48.53;2025-08-01
2025-08-08;96.79;2025-08-08
2025-08-15;42.86;2025-08-15
2025-08-22;43.49;2025-08-22
2025-08-29;22.16;2025-08-29
2025-09-05;10.73;2025-09-05
2025-09-12;22.76;2025-09-12
2025-09-19;43.42;2025-09-19
2025-09-26;40.82;2025-09-26
2025-10-03;93.84;2025-10-03
2025-10-10;87.13;2025-10-10
2025-10-17;42.86;2025-10-17
2025-10-24;100.00;2025-10-24
2025-10-31;82.74;2025-10-31
2025-11-07;69.14;2025-11-07
2025-11-14;108.12;2025-11-14
2025-11-21;40.05;2025-11-21
2025-11-28;86.28;2025-11-28
2025-12-05;149.35;2025-12-05
2025-12-12;162.86;2025-12-12
2025-12-19;107.14;2025-12-19
2025-12-26;206.86;2025-12-26
2026-01-02;123.54;2026-01-02
2026-01-09;193.09;2026-01-09
2026-01-16;116.69;2026-01-16
2026-01-23;80.09;2026-01-23
2026-01-30;113.63;2026-01-30
2026-02-06;185.67;2026-02-06
2026-02-13;145.71;2026-02-13
2026-02-20;108.09;2026-02-20
2026-02-27;100.90;2026-02-27
2026-03-06;159.79;2026-03-06
2026-03-13;132.74;2026-03-13
2026-03-20;149.35;2026-03-20
2026-03-27;42.86;2026-03-27
2026-04-03;138.60;2026-04-03
2026-04-10;31.53;2026-04-10
2026-04-17;170.07;2026-04-17
2026-04-24;28.57;2026-04-24
2026-05-01;86.28;2026-05-01
2026-05-08;29.04;2026-05-08
2026-05-15;42.86;2026-05-15
2026-05-22;113.05;2026-05-22
2026-05-29;42.86;2026-05-29
2026-06-05;123.85;2026-06-05
2026-06-12;86.68;2026-06-12
2026-06-19;108.09;2026-06-19
2026-06-26;31.22;2026-06-26
2026-07-03;86.84;2026-07-03
2026-07-10;92.84;2026-07-10
2026-07-17;0.00;2026-07-17
2026-07-24;49.35;2026-07-24
2026-07-31;0.00;2026-07-31
2026-08-07;0.00;2026-08-07
2026-08-14;0.00;2026-08-14
2026-08-21;0.00;2026-08-21
