period;originCountries;quantity
2021-02-26;Oman;25.35
2021-02-26;Qatar;46.82
2021-03-05;Belgium;65.06
2021-03-05;Canada;45.22
2021-03-05;India;110.81
2021-03-05;Netherlands;71.91
2021-03-12;Bahrain;44.17
2021-03-12;Belgium;74.59
2021-03-12;Canada;116.00
2021-03-12;Netherlands;133.17
2021-03-12;Nigeria;29.29
2021-03-19;Belgium;17.96
2021-03-19;Canada;146.03
2021-03-19;India;108.35
2021-03-19;Latvia;47.42
2021-03-19;Netherlands;124.95
2021-03-19;Nigeria;17.33
2021-03-26;Canada;124.74
2021-03-26;Colombia;70.52
2021-03-26;Netherlands;40.68
2021-03-26;Qatar;41.82
2021-04-02;Bahamas;2.86
2021-04-02;Belgium;65.62
2021-04-02;Canada;143.55
2021-04-02;Nigeria;50.81
2021-04-02;Norway;73.14
2021-04-09;Canada;95.16
2021-04-09;India;25.60
2021-04-09;Qatar;36.52
2021-04-09;Togo;39.32
2021-04-09;United Arab Emirates;18.25
2021-04-16;Canada;73.99
2021-04-16;United States Virgin Islands;18.40
2021-04-23;Canada;85.26
2021-04-30;Canada;130.04
2021-05-07;Canada;89.02
2021-05-14;Canada;58.78
2021-05-14;Colombia;4.29
2021-05-14;Egypt;2.74
2021-05-21;Belgium;109.04
2021-05-21;Canada;95.19
2021-05-21;Colombia;80.30
2021-05-28;Canada;71.39
2021-05-28;Netherlands;70.67
2021-05-28;Saudi Arabia;96.30
2021-06-04;Canada;103.68
2021-06-04;Russian Federation;130.04
2021-06-11;Belgium;101.54
2021-06-11;Canada;82.61
2021-06-11;Nigeria;22.11
2021-06-11;Russian Federation;7.22
2021-06-18;Canada;51.15
2021-06-18;Colombia;39.67
2021-06-18;Nigeria;27.06
2021-06-18;Qatar;46.43
2021-06-18;Russian Federation;71.22
2021-06-25;Belgium;79.33
2021-06-25;Canada;42.57
2021-07-02;Canada;73.18
2021-07-02;Nigeria;45.09
2021-07-09;Canada;58.60
2021-07-16;Canada;69.43
2021-07-16;Trinidad and Tobago;10.71
2021-07-23;Canada;63.90
2021-07-30;Canada;85.88
2021-07-30;Qatar;72.07
2021-08-06;Canada;73.07
2021-08-06;Nigeria;44.19
2021-08-13;Canada;77.73
2021-08-13;Nigeria;12.86
2021-08-20;Bahamas;0.00
2021-08-20;Canada;94.33
2021-08-20;Nigeria;33.57
2021-08-27;Bahamas;23.74
2021-08-27;Belgium;102.88
2021-08-27;Canada;48.03
2021-08-27;Egypt;9.76
2021-08-27;Netherlands;38.86
2021-09-03;Canada;123.27
2021-09-03;Netherlands;33.01
2021-09-03;Oman;23.76
2021-09-03;Qatar;49.19
2021-09-10;Canada;70.42
2021-09-17;Canada;37.57
2021-09-17;Russian Federation;68.55
2021-09-24;Canada;18.57
2021-09-24;Russian Federation;34.28
2021-10-01;Belgium;92.34
2021-10-01;Canada;31.00
2021-10-01;Netherlands;77.76
2021-10-01;Nigeria;49.38
2021-10-01;Oman;73.01
2021-10-08;Belgium;40.05
2021-10-08;Canada;54.86
2021-10-08;Netherlands;8.27
2021-10-08;Saudi Arabia;107.11
2021-10-15;Belgium;13.14
2021-10-15;Canada;18.81
2021-10-15;Kuwait;20.58
2021-10-15;Latvia;7.14
2021-10-15;Oman;51.66
2021-10-22;Belgium;33.57
2021-10-22;Canada;74.51
2021-10-22;India;105.68
2021-10-22;Kuwait;33.93
2021-10-22;Latvia;38.51
2021-10-22;Netherlands;45.48
2021-10-22;Nigeria;44.29
2021-10-22;Qatar;44.26
2021-10-29;Belgium;12.59
2021-10-29;Canada;30.29
2021-10-29;Netherlands;38.34
2021-10-29;Norway;72.41
2021-11-05;Canada;80.81
2021-11-05;Netherlands;93.21
2021-11-12;Canada;55.04
2021-11-12;Colombia;44.07
2021-11-12;Netherlands;70.83
2021-11-12;Qatar;41.60
2021-11-12;Spain;31.25
2021-11-19;Canada;92.06
2021-11-19;India;106.82
2021-11-19;Netherlands;6.43
2021-11-19;Russian Federation;48.07
2021-11-26;Canada;55.88
2021-11-26;Russian Federation;195.77
2021-12-03;Canada;115.77
2021-12-10;Canada;104.17
2021-12-10;India;55.41
2021-12-10;Oman;29.48
2021-12-10;Russian Federation;48.13
2021-12-10;South Korea;68.34
2021-12-10;Taiwan;40.46
2021-12-17;Canada;109.17
2021-12-17;Oman;85.84
2021-12-24;Canada;118.02
2021-12-24;Japan;26.41
2021-12-31;Canada;124.63
2021-12-31;Japan;22.03
2022-01-07;Canada;91.11
2022-01-14;Canada;61.69
2022-01-14;Qatar;73.41
2022-01-21;Canada;108.29
2022-01-21;Qatar;49.35
2022-01-28;Canada;116.48
2022-01-28;Qatar;30.29
2022-02-04;Canada;145.30
2022-02-04;Netherlands;179.22
2022-02-04;Russian Federation;8.50
2022-02-11;Belgium;54.90
2022-02-11;Canada;124.18
2022-02-11;Latvia;77.54
2022-02-11;Netherlands;17.85
2022-02-11;Russian Federation;122.79
2022-02-18;Canada;114.34
2022-02-18;Netherlands;25.36
2022-02-18;Qatar;15.11
2022-02-18;Russian Federation;73.32
2022-02-18;Saudi Arabia;206.84
2022-02-25;Canada;96.37
2022-02-25;Nigeria;44.22
2022-02-25;Qatar;32.35
2022-02-25;Russian Federation;19.32
2022-03-04;Canada;102.95
2022-03-04;Netherlands;76.23
2022-03-04;Oman;20.53
2022-03-04;Qatar;52.12
2022-03-11;Canada;113.15
2022-03-11;Netherlands;62.88
2022-03-11;Qatar;4.29
2022-03-18;Canada;112.28
2022-03-18;Qatar;41.23
2022-03-25;Canada;99.89
2022-04-01;Canada;44.53
2022-04-08;Canada;70.98
2022-04-15;Canada;72.85
2022-04-22;Canada;55.00
2022-04-29;Canada;54.11
2022-05-06;Canada;137.60
2022-05-06;Curacao;7.77
2022-05-06;Nigeria;44.29
2022-05-13;Canada;106.54
2022-05-20;Canada;41.19
2022-05-20;Netherlands;93.22
2022-05-27;Canada;62.14
2022-05-27;Netherlands;46.96
2022-05-27;Sweden;40.30
2022-06-03;Canada;93.28
2022-06-03;Saudi Arabia;82.32
2022-06-10;Canada;74.95
2022-06-17;Canada;35.43
2022-06-24;Canada;20.23
2022-07-01;Canada;11.00
2022-07-01;Canada;43.01
2022-07-08;Canada;122.67
2022-07-15;Canada;134.46
2022-07-22;Canada;52.95
2022-07-29;Canada;124.12
2022-08-05;Canada;113.65
2022-08-12;Canada;129.09
2022-08-19;Canada;75.14
2022-08-26;Canada;83.44
2022-09-02;Canada;86.74
2022-09-09;Canada;121.86
2022-09-16;Canada;60.73
2022-09-23;Canada;75.48
2022-09-30;Canada;41.71
2022-10-07;Canada;111.97
2022-10-14;Canada;44.44
2022-10-21;Canada;91.95
2022-10-28;Canada;66.65
2022-10-28;Malaysia;106.17
2022-11-04;Canada;52.33
2022-11-04;Netherlands;37.72
2022-11-04;Qatar;87.94
2022-11-11;Canada;91.89
2022-11-18;Canada;71.58
2022-11-25;Canada;28.79
2022-12-02;Canada;169.35
2022-12-02;Netherlands;152.83
2022-12-02;Oman;70.44
2022-12-09;Canada;93.03
2022-12-09;India;93.97
2022-12-16;Canada;190.02
2022-12-23;Canada;114.51
2022-12-30;Canada;106.65
2023-01-06;Canada;132.04
2023-01-13;Canada;143.62
2023-01-13;India;106.30
2023-01-20;Canada;77.43
2023-01-20;India;176.72
2023-01-27;Canada;159.42
2023-01-27;India;106.17
2023-02-03;Canada;163.62
2023-02-03;Oman;26.02
2023-02-03;Qatar;83.03
2023-02-03;Singapore Republic;29.73
2023-02-10;Canada;127.38
2023-02-10;Netherlands;58.77
2023-02-10;Saudi Arabia;107.14
2023-02-10;Taiwan;80.50
2023-02-17;Canada;147.30
2023-02-17;India;110.84
2023-02-24;Canada;84.34
2023-02-24;Qatar;46.32
2023-03-03;Canada;98.00
2023-03-10;Canada;85.86
2023-03-17;Canada;152.42
2023-03-24;Canada;65.43
2023-03-24;Nigeria;44.26
2023-03-31;Canada;107.67
2023-04-07;Canada;127.02
2023-04-07;Colombia;41.46
2023-04-14;Canada;79.47
2023-04-21;Canada;83.82
2023-04-28;Canada;92.19
2023-05-05;Canada;88.95
2023-05-12;Canada;52.04
2023-05-19;Canada;97.31
2023-05-26;Canada;140.67
2023-06-02;Canada;114.72
2023-06-09;Canada;90.39
2023-06-16;Canada;126.20
2023-06-23;Canada;41.16
2023-06-30;Canada;49.43
2023-07-07;Canada;99.13
2023-07-14;Canada;60.88
2023-07-21;Canada;128.21
2023-07-28;Canada;65.76
2023-08-04;Canada;86.74
2023-08-11;Canada;90.65
2023-08-18;Canada;45.60
2023-08-25;Canada;131.48
2023-09-01;Canada;97.51
2023-09-08;Canada;75.16
2023-09-15;Canada;35.18
2023-09-22;Canada;55.60
2023-09-22;Nigeria;44.17
2023-09-29;Canada;80.60
2023-10-06;Canada;60.84
2023-10-13;Canada;96.19
2023-10-20;Canada;79.17
2023-10-27;Canada;35.39
2023-11-03;Canada;69.51
2023-11-03;Qatar;2.98
2023-11-03;United Arab Emirates;44.99
2023-11-10;Canada;102.22
2023-11-10;Qatar;42.55
2023-11-17;Canada;39.57
2023-11-24;Canada;63.00
2023-12-01;Canada;89.70
2023-12-08;Canada;101.39
2023-12-08;Qatar;21.43
2023-12-08;Saudi Arabia;80.74
2023-12-15;Canada;104.69
2023-12-15;Qatar;26.03
2023-12-15;Saudi Arabia;24.22
2023-12-22;Canada;151.10
2023-12-22;India;115.12
2023-12-22;Oman;8.70
2023-12-22;Qatar;35.47
2023-12-29;Canada;9.45
2023-12-29;Canada;141.84
2023-12-29;Colombia;45.34
2024-01-05;Canada;127.96
2024-01-12;Canada;93.39
2024-01-19;Canada;155.13
2024-01-26;Canada;64.70
2024-02-02;Canada;116.13
2024-02-09;Canada;155.96
2024-02-09;Israel;35.50
2024-02-16;Canada;162.64
2024-02-16;Israel;8.00
2024-02-23;Canada;143.15
2024-03-01;Canada;102.69
2024-03-08;Canada;111.20
2024-03-08;Mexico;22.87
2024-03-15;Canada;168.69
2024-03-22;Canada;147.65
