period;originCountries;quantity
2021-05-14;China;4.98
2021-05-14;Colombia;4.29
2021-05-14;Egypt;2.74
2021-05-14;Portugal;37.03
2021-05-21;Belgium;109.04
2021-05-21;Canada;95.19
2021-05-21;Colombia;80.30
2021-05-28;Belgium;4.35
2021-05-28;Canada;71.39
2021-05-28;Netherlands;99.88
2021-05-28;Saudi Arabia;96.30
2021-06-04;Canada;103.68
2021-06-04;Colombia;35.68
2021-06-04;Russian Federation;130.04
2021-06-04;Saudi Arabia;13.03
2021-06-11;Belgium;101.54
2021-06-11;Canada;82.61
2021-06-11;Colombia;7.10
2021-06-11;Nigeria;22.11
2021-06-11;Russian Federation;7.22
2021-06-11;South Korea;36.33
2021-06-18;Canada;51.15
2021-06-18;Colombia;39.67
2021-06-18;Nigeria;27.06
2021-06-18;Qatar;46.43
2021-06-18;Russian Federation;71.22
2021-06-18;South Korea;8.60
2021-06-25;Belgium;79.33
2021-06-25;Canada;42.57
2021-06-25;Colombia;19.23
2021-07-02;Canada;112.75
2021-07-02;Nigeria;45.09
2021-07-02;South Korea;54.30
2021-07-09;Canada;58.60
2021-07-16;Canada;69.43
2021-07-16;South Korea;2.38
2021-07-16;Trinidad and Tobago;10.71
2021-07-23;Canada;75.52
2021-07-23;Netherlands;45.57
2021-07-30;Canada;85.88
2021-07-30;Colombia;42.83
2021-07-30;Qatar;72.07
2021-08-06;Canada;73.07
2021-08-06;Colombia;41.52
2021-08-06;Nigeria;44.19
2021-08-13;Canada;113.42
2021-08-13;Nigeria;12.86
2021-08-13;South Korea;77.35
2021-08-20;Bahamas;0.00
2021-08-20;Canada;94.33
2021-08-20;Colombia;27.68
2021-08-20;Netherlands;26.43
2021-08-20;Nigeria;33.57
2021-08-20;South Korea;15.45
2021-08-27;Bahamas;23.74
2021-08-27;Belgium;102.88
2021-08-27;Canada;67.92
2021-08-27;Egypt;9.76
2021-08-27;Netherlands;53.70
2021-09-03;Canada;123.27
2021-09-03;Netherlands;33.01
2021-09-03;Oman;23.76
2021-09-03;Qatar;49.19
2021-09-10;Canada;79.41
2021-09-10;Nigeria;44.24
2021-09-10;South Korea;4.26
2021-09-17;Canada;67.06
2021-09-17;Russian Federation;68.55
2021-09-24;Belgium;42.67
2021-09-24;Canada;30.49
2021-09-24;Netherlands;18.57
2021-09-24;Russian Federation;34.28
2021-10-01;Belgium;92.34
2021-10-01;Brazil;3.76
2021-10-01;Canada;31.00
2021-10-01;Colombia;20.09
2021-10-01;Netherlands;92.05
2021-10-01;Nigeria;49.38
2021-10-01;Oman;73.01
2021-10-08;Belgium;40.05
2021-10-08;Canada;54.86
2021-10-08;Colombia;29.78
2021-10-08;Netherlands;8.27
2021-10-08;Saudi Arabia;137.69
2021-10-08;South Korea;4.67
2021-10-15;Belgium;13.14
2021-10-15;Canada;18.81
2021-10-15;Kuwait;20.58
2021-10-15;Latvia;7.14
2021-10-15;Oman;51.66
2021-10-15;United States Virgin Islands;7.08
2021-10-22;Belgium;33.57
2021-10-22;Canada;106.69
2021-10-22;India;105.68
2021-10-22;Kuwait;33.93
2021-10-22;Latvia;88.19
2021-10-22;Netherlands;45.48
2021-10-22;Nigeria;44.29
2021-10-22;Qatar;44.26
2021-10-22;South Korea;44.95
2021-10-29;Belgium;12.59
2021-10-29;Canada;30.29
2021-10-29;Netherlands;38.34
2021-10-29;Norway;72.41
2021-10-29;Qatar;44.52
2021-11-05;Canada;80.81
2021-11-05;Netherlands;93.21
2021-11-05;United Kingdom;6.03
2021-11-12;Canada;55.04
2021-11-12;Colombia;66.22
2021-11-12;Netherlands;91.26
2021-11-12;Qatar;41.60
2021-11-12;South Korea;4.16
2021-11-12;Spain;49.35
2021-11-19;Canada;127.09
2021-11-19;India;106.82
