Date;Total;Period End Date
2025-03-28;114.01;2025-03-28
2025-04-04;43.09;2025-04-04
2025-04-11;43.47;2025-04-11
2025-04-18;23.60;2025-04-18
2025-04-25;115.73;2025-04-25
2025-05-02;29.27;2025-05-02
2025-05-09;33.95;2025-05-09
2025-05-16;92.98;2025-05-16
2025-05-23;127.27;2025-05-23
2025-05-30;65.40;2025-05-30
2025-06-06;118.56;2025-06-06
2025-06-13;13.24;2025-06-13
2025-06-20;92.38;2025-06-20
2025-06-27;91.94;2025-06-27
2025-07-04;274.01;2025-07-04
2025-07-11;51.24;2025-07-11
2025-07-18;27.02;2025-07-18
2025-07-25;102.27;2025-07-25
2025-08-01;46.33;2025-08-01
2025-08-08;48.69;2025-08-08
2025-08-15;136.20;2025-08-15
2025-08-22;118.97;2025-08-22
2025-08-29;90.74;2025-08-29
2025-09-05;182.91;2025-09-05
2025-09-12;106.41;2025-09-12
2025-09-19;95.96;2025-09-19
2025-09-26;56.97;2025-09-26
2025-10-03;132.55;2025-10-03
2025-10-10;155.56;2025-10-10
2025-10-17;42.25;2025-10-17
2025-10-24;170.40;2025-10-24
2025-10-31;125.32;2025-10-31
2025-11-07;161.40;2025-11-07
2025-11-14;236.92;2025-11-14
2025-11-21;75.05;2025-11-21
2025-11-28;197.03;2025-11-28
2025-12-05;139.45;2025-12-05
2025-12-12;244.98;2025-12-12
2025-12-19;100.19;2025-12-19
2025-12-26;164.05;2025-12-26
2026-01-02;87.08;2026-01-02
2026-01-09;175.60;2026-01-09
2026-01-16;182.97;2026-01-16
2026-01-23;126.94;2026-01-23
2026-01-30;39.33;2026-01-30
2026-02-06;95.52;2026-02-06
2026-02-13;73.91;2026-02-13
2026-02-20;87.39;2026-02-20
2026-02-27;67.47;2026-02-27
2026-03-06;137.37;2026-03-06
2026-03-13;194.51;2026-03-13
2026-03-20;33.50;2026-03-20
2026-03-27;178.59;2026-03-27
2026-04-03;23.81;2026-04-03
2026-04-10;249.36;2026-04-10
2026-04-17;179.67;2026-04-17
2026-04-24;113.30;2026-04-24
2026-05-01;141.82;2026-05-01
2026-05-08;88.92;2026-05-08
2026-05-15;141.61;2026-05-15
2026-05-22;152.13;2026-05-22
2026-05-29;233.54;2026-05-29
2026-06-05;106.14;2026-06-05
2026-06-12;196.87;2026-06-12
2026-06-19;91.25;2026-06-19
2026-06-26;132.10;2026-06-26
2026-07-03;252.72;2026-07-03
2026-07-10;83.43;2026-07-10
2026-07-17;0.00;2026-07-17
2026-07-24;0.00;2026-07-24
2026-07-31;0.00;2026-07-31
2026-08-07;0.00;2026-08-07
2026-08-14;0.00;2026-08-14
2026-08-21;0.00;2026-08-21
