Date;Total;Period End Date
2023-09-29;0.00;2023-09-29
2023-10-06;45.25;2023-10-06
2023-10-13;0.00;2023-10-13
2023-10-20;0.00;2023-10-20
2023-10-27;0.00;2023-10-27
2023-11-03;0.00;2023-11-03
2023-11-10;0.00;2023-11-10
2023-11-17;9.70;2023-11-17
2023-11-24;52.61;2023-11-24
2023-12-01;0.00;2023-12-01
2023-12-08;76.89;2023-12-08
2023-12-15;0.00;2023-12-15
2023-12-22;54.95;2023-12-22
2023-12-29;9.70;2023-12-29
2024-01-05;31.23;2024-01-05
2024-01-12;0.00;2024-01-12
2024-01-19;9.70;2024-01-19
2024-01-26;3.21;2024-01-26
2024-02-02;0.00;2024-02-02
2024-02-09;3.21;2024-02-09
2024-02-16;0.00;2024-02-16
2024-02-23;55.93;2024-02-23
2024-03-01;9.60;2024-03-01
2024-03-08;9.60;2024-03-08
2024-03-15;0.00;2024-03-15
2024-03-22;0.00;2024-03-22
2024-03-29;23.35;2024-03-29
2024-04-05;9.60;2024-04-05
2024-04-12;0.00;2024-04-12
2024-04-19;0.00;2024-04-19
2024-04-26;4.78;2024-04-26
2024-05-03;0.00;2024-05-03
2024-05-10;0.00;2024-05-10
2024-05-17;0.00;2024-05-17
2024-05-24;9.56;2024-05-24
2024-05-31;6.60;2024-05-31
2024-06-07;9.22;2024-06-07
2024-06-14;9.24;2024-06-14
2024-06-21;6.38;2024-06-21
2024-06-28;45.66;2024-06-28
2024-07-05;0.00;2024-07-05
2024-07-12;6.60;2024-07-12
2024-07-19;0.00;2024-07-19
2024-07-26;28.60;2024-07-26
2024-08-02;21.29;2024-08-02
2024-08-09;0.00;2024-08-09
2024-08-16;0.00;2024-08-16
2024-08-23;9.56;2024-08-23
2024-08-30;9.56;2024-08-30
2024-09-06;30.06;2024-09-06
2024-09-13;9.60;2024-09-13
2024-09-20;9.60;2024-09-20
2024-09-27;30.34;2024-09-27
2024-10-04;30.71;2024-10-04
2024-10-11;44.89;2024-10-11
2024-10-18;45.25;2024-10-18
2024-10-25;52.46;2024-10-25
2024-11-01;18.84;2024-11-01
2024-11-08;54.85;2024-11-08
2024-11-15;45.25;2024-11-15
2024-11-22;14.38;2024-11-22
2024-11-29;107.17;2024-11-29
2024-12-06;92.31;2024-12-06
2024-12-13;54.81;2024-12-13
2024-12-20;9.71;2024-12-20
2024-12-27;9.71;2024-12-27
2025-01-03;0.00;2025-01-03
2025-01-10;19.42;2025-01-10
2025-01-17;0.00;2025-01-17
2025-01-24;9.71;2025-01-24
2025-01-31;9.71;2025-01-31
2025-02-07;9.71;2025-02-07
2025-02-14;9.70;2025-02-14
2025-02-21;9.56;2025-02-21
2025-02-28;0.00;2025-02-28
2025-03-07;66.31;2025-03-07
2025-03-14;40.25;2025-03-14
2025-03-21;67.69;2025-03-21
2025-03-28;19.27;2025-03-28
2025-04-04;0.00;2025-04-04
2025-04-11;54.85;2025-04-11
2025-04-18;54.96;2025-04-18
2025-04-25;9.71;2025-04-25
2025-05-02;45.25;2025-05-02
2025-05-09;0.00;2025-05-09
2025-05-16;32.33;2025-05-16
2025-05-23;9.71;2025-05-23
2025-05-30;9.60;2025-05-30
2025-06-06;9.60;2025-06-06
2025-06-13;45.65;2025-06-13
2025-06-20;90.12;2025-06-20
2025-06-27;9.56;2025-06-27
2025-07-04;76.26;2025-07-04
2025-07-11;57.37;2025-07-11
2025-07-18;9.71;2025-07-18
2025-07-25;0.00;2025-07-25
2025-08-01;0.00;2025-08-01
2025-08-08;100.61;2025-08-08
2025-08-15;47.66;2025-08-15
2025-08-22;54.96;2025-08-22
2025-08-29;9.71;2025-08-29
2025-09-05;64.52;2025-09-05
2025-09-12;0.00;2025-09-12
2025-09-19;9.71;2025-09-19
