fuel2002,fuel2002TypeDescription,fuelType,fuelTypeDescription,period,plantCode,plantName,primeMover,state,stateDescription,total-consumption,total-consumption-units
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54515,Crotched Mountain Rehabilitation Center,ALL,NH,New Hampshire,59,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54515,Crotched Mountain Rehabilitation Center,IC,NH,New Hampshire,59,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54569,Bayville Central Facility,ALL,NJ,New Jersey,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54569,Bayville Central Facility,IC,NJ,New Jersey,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54586,Tanner Street Generation,ALL,MA,Massachusetts,6165,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54586,Tanner Street Generation,CA,MA,Massachusetts,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54586,Tanner Street Generation,CT,MA,Massachusetts,6165,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54592,Massena Energy Facility,ALL,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54592,Massena Energy Facility,CA,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54592,Massena Energy Facility,CT,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54592,Massena Energy Facility,IC,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54593,Batavia Power Plant,ALL,NY,New York,5,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54593,Batavia Power Plant,IC,NY,New York,5,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54605,Pratt & Whitney,ALL,CT,Connecticut,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54605,Pratt & Whitney,GT,CT,Connecticut,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54625,Covanta Plymouth Renewable Energy,ALL,PA,Pennsylvania,819,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54625,Covanta Plymouth Renewable Energy,ST,PA,Pennsylvania,819,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54634,St Nicholas Cogen Project,ALL,PA,Pennsylvania,818,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54634,St Nicholas Cogen Project,ST,PA,Pennsylvania,818,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54638,Johnsonburg Mill,ALL,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54638,Johnsonburg Mill,ST,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54640,NAEA Lakewood LLC,ALL,NJ,New Jersey,35061,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54640,NAEA Lakewood LLC,CA,NJ,New Jersey,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54640,NAEA Lakewood LLC,CT,NJ,New Jersey,35061,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54707,Hunterdon Cogen Facility,ALL,NJ,New Jersey,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54707,Hunterdon Cogen Facility,GT,NJ,New Jersey,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54766,Boydton Plank Road Cogen Plant,ALL,VA,Virginia,323,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54766,Boydton Plank Road Cogen Plant,IC,VA,Virginia,323,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54769,NYU Luthern Medical Center,ALL,NY,New York,65,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54769,NYU Luthern Medical Center,IC,NY,New York,65,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54785,Grays Ferry Cogeneration,ALL,PA,Pennsylvania,4515,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54785,Grays Ferry Cogeneration,ST,PA,Pennsylvania,4515,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,54795,Domino Sugar Baltimore,ALL,MD,Maryland,2090,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,54795,Domino Sugar Baltimore,ST,MD,Maryland,2090,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54803,Plymouth State College Cogeneration,ALL,NH,New Hampshire,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54803,Plymouth State College Cogeneration,IC,NH,New Hampshire,0,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,54803,Plymouth State College Cogeneration,ALL,NH,New Hampshire,0,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,54803,Plymouth State College Cogeneration,IC,NH,New Hampshire,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54808,New York University Central Plant,ALL,NY,New York,6061,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54808,New York University Central Plant,CA,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54808,New York University Central Plant,CT,NY,New York,6061,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54808,New York University Central Plant,IC,NY,New York,0,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,54808,New York University Central Plant,ALL,NY,New York,0,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,54808,New York University Central Plant,CT,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54829,Bristol Myers Squibb New Brunswick,ALL,NJ,New Jersey,15,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54829,Bristol Myers Squibb New Brunswick,GT,NJ,New Jersey,15,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54829,Bristol Myers Squibb New Brunswick,ST,NJ,New Jersey,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54832,Brandywine Power Facility,ALL,MD,Maryland,43880,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54832,Brandywine Power Facility,CA,MD,Maryland,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54832,Brandywine Power Facility,CT,MD,Maryland,43880,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54844,Gordonsville Energy LP,ALL,VA,Virginia,33681,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54844,Gordonsville Energy LP,CA,VA,Virginia,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54844,Gordonsville Energy LP,CT,VA,Virginia,33681,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54863,Bassett Medical Center,ALL,NY,New York,4,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54863,Bassett Medical Center,IC,NY,New York,4,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54907,Mass Inst Tech Cntrl Utilities/Cogen Plt,ALL,MA,Massachusetts,128,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54907,Mass Inst Tech Cntrl Utilities/Cogen Plt,GT,MA,Massachusetts,128,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54914,Brooklyn Navy Yard Cogeneration,ALL,NY,New York,46467,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54914,Brooklyn Navy Yard Cogeneration,CA,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54914,Brooklyn Navy Yard Cogeneration,CT,NY,New York,46467,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54998,Wheelabrator Portsmouth,ALL,VA,Virginia,66095,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54998,Wheelabrator Portsmouth,ST,VA,Virginia,66095,barrels
