fueltype,period,respondent,respondent-name,timezone,timezone-description,type-name,value,value-units
OIL,2019-02-27,NE,New England,Central,Central,Petroleum,43,megawatthours
OIL,2019-02-28,MIDA,Mid-Atlantic,Central,Central,Petroleum,5240,megawatthours
OIL,2019-02-28,NE,New England,Central,Central,Petroleum,11,megawatthours
OIL,2019-03-01,MIDA,Mid-Atlantic,Central,Central,Petroleum,3303,megawatthours
OIL,2019-03-01,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-03-02,MIDA,Mid-Atlantic,Central,Central,Petroleum,4686,megawatthours
OIL,2019-03-02,NE,New England,Central,Central,Petroleum,404,megawatthours
OIL,2019-03-03,MIDA,Mid-Atlantic,Central,Central,Petroleum,5179,megawatthours
OIL,2019-03-03,NE,New England,Central,Central,Petroleum,335,megawatthours
OIL,2019-03-04,MIDA,Mid-Atlantic,Central,Central,Petroleum,5256,megawatthours
OIL,2019-03-04,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-03-05,MIDA,Mid-Atlantic,Central,Central,Petroleum,6799,megawatthours
OIL,2019-03-05,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-03-06,MIDA,Mid-Atlantic,Central,Central,Petroleum,9234,megawatthours
OIL,2019-03-06,NE,New England,Central,Central,Petroleum,77,megawatthours
OIL,2019-03-07,MIDA,Mid-Atlantic,Central,Central,Petroleum,9365,megawatthours
OIL,2019-03-07,NE,New England,Central,Central,Petroleum,86,megawatthours
OIL,2019-03-08,MIDA,Mid-Atlantic,Central,Central,Petroleum,6215,megawatthours
OIL,2019-03-08,NE,New England,Central,Central,Petroleum,13,megawatthours
OIL,2019-03-09,MIDA,Mid-Atlantic,Central,Central,Petroleum,1966,megawatthours
OIL,2019-03-09,NE,New England,Central,Central,Petroleum,79,megawatthours
OIL,2019-03-10,MIDA,Mid-Atlantic,Central,Central,Petroleum,9987,megawatthours
OIL,2019-03-10,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-03-11,MIDA,Mid-Atlantic,Central,Central,Petroleum,9534,megawatthours
OIL,2019-03-11,NE,New England,Central,Central,Petroleum,33,megawatthours
OIL,2019-03-12,MIDA,Mid-Atlantic,Central,Central,Petroleum,12932,megawatthours
OIL,2019-03-12,NE,New England,Central,Central,Petroleum,59,megawatthours
OIL,2019-03-13,MIDA,Mid-Atlantic,Central,Central,Petroleum,12722,megawatthours
OIL,2019-03-13,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-03-14,MIDA,Mid-Atlantic,Central,Central,Petroleum,10536,megawatthours
OIL,2019-03-14,NE,New England,Central,Central,Petroleum,26,megawatthours
OIL,2019-03-15,MIDA,Mid-Atlantic,Central,Central,Petroleum,1923,megawatthours
OIL,2019-03-15,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-03-16,MIDA,Mid-Atlantic,Central,Central,Petroleum,1917,megawatthours
OIL,2019-03-16,NE,New England,Central,Central,Petroleum,66,megawatthours
OIL,2019-03-17,MIDA,Mid-Atlantic,Central,Central,Petroleum,1935,megawatthours
OIL,2019-03-17,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-03-18,MIDA,Mid-Atlantic,Central,Central,Petroleum,2708,megawatthours
OIL,2019-03-18,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-03-19,MIDA,Mid-Atlantic,Central,Central,Petroleum,2440,megawatthours
OIL,2019-03-19,NE,New England,Central,Central,Petroleum,91,megawatthours
OIL,2019-03-20,MIDA,Mid-Atlantic,Central,Central,Petroleum,1980,megawatthours
OIL,2019-03-20,NE,New England,Central,Central,Petroleum,193,megawatthours
OIL,2019-03-21,MIDA,Mid-Atlantic,Central,Central,Petroleum,2007,megawatthours
OIL,2019-03-21,NE,New England,Central,Central,Petroleum,149,megawatthours
OIL,2019-03-22,MIDA,Mid-Atlantic,Central,Central,Petroleum,1856,megawatthours
OIL,2019-03-22,NE,New England,Central,Central,Petroleum,669,megawatthours
OIL,2019-03-23,MIDA,Mid-Atlantic,Central,Central,Petroleum,1947,megawatthours
