fueltype,period,respondent,respondent-name,type-name,value,value-units
OIL,2026-07-03T04,MIDA,Mid-Atlantic,Petroleum,2542,megawatthours
OIL,2026-07-03T04,NE,New England,Petroleum,483,megawatthours
OIL,2026-07-03T03,MIDA,Mid-Atlantic,Petroleum,3829,megawatthours
OIL,2026-07-03T03,NE,New England,Petroleum,603,megawatthours
OIL,2026-07-03T02,MIDA,Mid-Atlantic,Petroleum,4826,megawatthours
OIL,2026-07-03T02,NE,New England,Petroleum,946,megawatthours
OIL,2026-07-03T01,MIDA,Mid-Atlantic,Petroleum,6351,megawatthours
OIL,2026-07-03T01,NE,New England,Petroleum,1359,megawatthours
OIL,2026-07-03T00,MIDA,Mid-Atlantic,Petroleum,6425,megawatthours
OIL,2026-07-03T00,NE,New England,Petroleum,2280,megawatthours
OIL,2026-07-02T23,MIDA,Mid-Atlantic,Petroleum,6306,megawatthours
OIL,2026-07-02T23,NE,New England,Petroleum,2436,megawatthours
OIL,2026-07-02T22,MIDA,Mid-Atlantic,Petroleum,6194,megawatthours
OIL,2026-07-02T22,NE,New England,Petroleum,1943,megawatthours
OIL,2026-07-02T21,MIDA,Mid-Atlantic,Petroleum,5860,megawatthours
OIL,2026-07-02T21,NE,New England,Petroleum,1179,megawatthours
OIL,2026-07-02T20,MIDA,Mid-Atlantic,Petroleum,5109,megawatthours
OIL,2026-07-02T20,NE,New England,Petroleum,865,megawatthours
OIL,2026-07-02T19,MIDA,Mid-Atlantic,Petroleum,4538,megawatthours
OIL,2026-07-02T19,NE,New England,Petroleum,734,megawatthours
OIL,2026-07-02T18,MIDA,Mid-Atlantic,Petroleum,3968,megawatthours
OIL,2026-07-02T18,NE,New England,Petroleum,631,megawatthours
OIL,2026-07-02T17,MIDA,Mid-Atlantic,Petroleum,2778,megawatthours
OIL,2026-07-02T17,NE,New England,Petroleum,548,megawatthours
OIL,2026-07-02T16,MIDA,Mid-Atlantic,Petroleum,1574,megawatthours
OIL,2026-07-02T16,NE,New England,Petroleum,462,megawatthours
OIL,2026-07-02T15,MIDA,Mid-Atlantic,Petroleum,1149,megawatthours
OIL,2026-07-02T15,NE,New England,Petroleum,463,megawatthours
OIL,2026-07-02T14,MIDA,Mid-Atlantic,Petroleum,772,megawatthours
OIL,2026-07-02T14,NE,New England,Petroleum,419,megawatthours
OIL,2026-07-02T13,MIDA,Mid-Atlantic,Petroleum,677,megawatthours
OIL,2026-07-02T13,NE,New England,Petroleum,415,megawatthours
OIL,2026-07-02T12,MIDA,Mid-Atlantic,Petroleum,679,megawatthours
OIL,2026-07-02T12,NE,New England,Petroleum,394,megawatthours
OIL,2026-07-02T11,MIDA,Mid-Atlantic,Petroleum,639,megawatthours
OIL,2026-07-02T11,NE,New England,Petroleum,363,megawatthours
OIL,2026-07-02T10,MIDA,Mid-Atlantic,Petroleum,642,megawatthours
OIL,2026-07-02T10,NE,New England,Petroleum,350,megawatthours
OIL,2026-07-02T09,MIDA,Mid-Atlantic,Petroleum,643,megawatthours
OIL,2026-07-02T09,NE,New England,Petroleum,351,megawatthours
OIL,2026-07-02T08,MIDA,Mid-Atlantic,Petroleum,642,megawatthours
OIL,2026-07-02T08,NE,New England,Petroleum,349,megawatthours
OIL,2026-07-02T07,MIDA,Mid-Atlantic,Petroleum,665,megawatthours
OIL,2026-07-02T07,NE,New England,Petroleum,349,megawatthours
