period,respondent,respondent-name,type,type-name,value,value-units
2026-09-21T03,NE,New England,NG,Net generation,12550,megawatthours
2026-09-21T03,NE,New England,TI,Total interchange,828,megawatthours
2026-09-21T02,MIDA,Mid-Atlantic,D,Demand,102067,megawatthours
2026-09-21T02,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,95733,megawatthours
2026-09-21T02,MIDA,Mid-Atlantic,NG,Net generation,106560,megawatthours
2026-09-21T02,MIDA,Mid-Atlantic,TI,Total interchange,164,megawatthours
2026-09-21T02,NE,New England,D,Demand,12361,megawatthours
2026-09-21T02,NE,New England,DF,Day-ahead demand forecast,12210,megawatthours
2026-09-21T02,NE,New England,NG,Net generation,12850,megawatthours
2026-09-21T02,NE,New England,TI,Total interchange,489,megawatthours
2026-09-21T01,MIDA,Mid-Atlantic,D,Demand,106293,megawatthours
2026-09-21T01,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,100995,megawatthours
2026-09-21T01,MIDA,Mid-Atlantic,NG,Net generation,110700,megawatthours
2026-09-21T01,MIDA,Mid-Atlantic,TI,Total interchange,521,megawatthours
2026-09-21T01,NE,New England,D,Demand,13120,megawatthours
2026-09-21T01,NE,New England,DF,Day-ahead demand forecast,13010,megawatthours
2026-09-21T01,NE,New England,NG,Net generation,13860,megawatthours
2026-09-21T01,NE,New England,TI,Total interchange,740,megawatthours
2026-09-21T00,MIDA,Mid-Atlantic,D,Demand,108100,megawatthours
2026-09-21T00,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,104648,megawatthours
2026-09-21T00,MIDA,Mid-Atlantic,NG,Net generation,112351,megawatthours
2026-09-21T00,MIDA,Mid-Atlantic,TI,Total interchange,909,megawatthours
2026-09-21T00,NE,New England,D,Demand,13648,megawatthours
2026-09-21T00,NE,New England,DF,Day-ahead demand forecast,13800,megawatthours
2026-09-21T00,NE,New England,NG,Net generation,14548,megawatthours
2026-09-21T00,NE,New England,TI,Total interchange,900,megawatthours
2026-09-20T23,MIDA,Mid-Atlantic,D,Demand,108363,megawatthours
2026-09-20T23,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,106619,megawatthours
2026-09-20T23,MIDA,Mid-Atlantic,NG,Net generation,111512,megawatthours
2026-09-20T23,MIDA,Mid-Atlantic,TI,Total interchange,1025,megawatthours
2026-09-20T23,NE,New England,D,Demand,13739,megawatthours
2026-09-20T23,NE,New England,DF,Day-ahead demand forecast,13690,megawatthours
2026-09-20T23,NE,New England,NG,Net generation,14771,megawatthours
2026-09-20T23,NE,New England,TI,Total interchange,1032,megawatthours
2026-09-20T22,MIDA,Mid-Atlantic,D,Demand,108812,megawatthours
2026-09-20T22,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,108712,megawatthours
2026-09-20T22,MIDA,Mid-Atlantic,NG,Net generation,113172,megawatthours
2026-09-20T22,MIDA,Mid-Atlantic,TI,Total interchange,1124,megawatthours
2026-09-20T22,NE,New England,D,Demand,13490,megawatthours
2026-09-20T22,NE,New England,DF,Day-ahead demand forecast,13460,megawatthours
2026-09-20T22,NE,New England,NG,Net generation,14121,megawatthours
2026-09-20T22,NE,New England,TI,Total interchange,631,megawatthours
2026-09-20T21,MIDA,Mid-Atlantic,D,Demand,107769,megawatthours
2026-09-20T21,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,109342,megawatthours
2026-09-20T21,MIDA,Mid-Atlantic,NG,Net generation,112154,megawatthours
2026-09-20T21,MIDA,Mid-Atlantic,TI,Total interchange,1195,megawatthours
2026-09-20T21,NE,New England,D,Demand,13022,megawatthours
2026-09-20T21,NE,New England,DF,Day-ahead demand forecast,13010,megawatthours
2026-09-20T21,NE,New England,NG,Net generation,13546,megawatthours
2026-09-20T21,NE,New England,TI,Total interchange,524,megawatthours
2026-09-20T20,MIDA,Mid-Atlantic,D,Demand,106115,megawatthours
2026-09-20T20,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,107853,megawatthours
2026-09-20T20,MIDA,Mid-Atlantic,NG,Net generation,110659,megawatthours
2026-09-20T20,MIDA,Mid-Atlantic,TI,Total interchange,888,megawatthours
2026-09-20T20,NE,New England,D,Demand,12606,megawatthours
2026-09-20T20,NE,New England,DF,Day-ahead demand forecast,12560,megawatthours
2026-09-20T20,NE,New England,NG,Net generation,12991,megawatthours
2026-09-20T20,NE,New England,TI,Total interchange,385,megawatthours
2026-09-20T19,MIDA,Mid-Atlantic,D,Demand,104127,megawatthours
