period_month,fuel2002,fuel_name,total_consumption,total_consumption_units,state_count
2020-08-01,DFO,Distillate Fuel Oil,149000.000000,barrels,14
2020-08-01,RFO,Residual Fuel Oil,90327.000000,barrels,12
2020-09-01,DFO,Distillate Fuel Oil,132215.000000,barrels,14
2020-09-01,RFO,Residual Fuel Oil,44837.000000,barrels,12
2020-10-01,DFO,Distillate Fuel Oil,81043.000000,barrels,14
2020-10-01,RFO,Residual Fuel Oil,42396.000000,barrels,12
2020-11-01,DFO,Distillate Fuel Oil,176417.000000,barrels,14
2020-11-01,RFO,Residual Fuel Oil,32867.000000,barrels,12
2020-12-01,DFO,Distillate Fuel Oil,241418.000000,barrels,14
2020-12-01,RFO,Residual Fuel Oil,120742.000000,barrels,12
2021-01-01,DFO,Distillate Fuel Oil,155665.000000,barrels,14
2021-01-01,RFO,Residual Fuel Oil,238757.000000,barrels,12
2021-02-01,DFO,Distillate Fuel Oil,411298.000000,barrels,14
2021-02-01,RFO,Residual Fuel Oil,275392.000000,barrels,12
2021-03-01,DFO,Distillate Fuel Oil,151405.000000,barrels,14
2021-03-01,RFO,Residual Fuel Oil,33826.000000,barrels,12
2021-04-01,DFO,Distillate Fuel Oil,199538.000000,barrels,14
2021-04-01,RFO,Residual Fuel Oil,18866.000000,barrels,12
2021-05-01,DFO,Distillate Fuel Oil,97733.000000,barrels,14
2021-05-01,RFO,Residual Fuel Oil,12735.000000,barrels,12
2021-06-01,DFO,Distillate Fuel Oil,153935.000000,barrels,14
2021-06-01,RFO,Residual Fuel Oil,71875.000000,barrels,12
2021-07-01,DFO,Distillate Fuel Oil,159747.000000,barrels,14
2021-07-01,RFO,Residual Fuel Oil,78346.000000,barrels,12
2021-08-01,DFO,Distillate Fuel Oil,203633.000000,barrels,14
2021-08-01,RFO,Residual Fuel Oil,354514.000000,barrels,12
2021-09-01,DFO,Distillate Fuel Oil,107038.000000,barrels,14
2021-09-01,RFO,Residual Fuel Oil,198292.000000,barrels,12
2021-10-01,DFO,Distillate Fuel Oil,104749.000000,barrels,14
2021-10-01,RFO,Residual Fuel Oil,24225.000000,barrels,13
2021-11-01,DFO,Distillate Fuel Oil,150539.000000,barrels,14
2021-11-01,RFO,Residual Fuel Oil,39430.000000,barrels,12
2021-12-01,DFO,Distillate Fuel Oil,230886.000000,barrels,14
2021-12-01,RFO,Residual Fuel Oil,57630.000000,barrels,12
2022-01-01,DFO,Distillate Fuel Oil,1853760.000000,barrels,14
2022-01-01,RFO,Residual Fuel Oil,1706886.000000,barrels,12
2022-02-01,DFO,Distillate Fuel Oil,318279.000000,barrels,14
2022-02-01,RFO,Residual Fuel Oil,323624.000000,barrels,12
2022-03-01,DFO,Distillate Fuel Oil,120154.000000,barrels,14
2022-03-01,RFO,Residual Fuel Oil,94416.000000,barrels,12
2022-04-01,DFO,Distillate Fuel Oil,126971.000000,barrels,14
2022-04-01,RFO,Residual Fuel Oil,17334.000000,barrels,12
2022-05-01,DFO,Distillate Fuel Oil,145284.000000,barrels,14
2022-05-01,RFO,Residual Fuel Oil,31925.000000,barrels,12
2022-06-01,DFO,Distillate Fuel Oil,219402.000000,barrels,14
2022-06-01,RFO,Residual Fuel Oil,32416.000000,barrels,12
2022-07-01,DFO,Distillate Fuel Oil,238262.000000,barrels,14
2022-07-01,RFO,Residual Fuel Oil,207233.000000,barrels,12
2022-08-01,DFO,Distillate Fuel Oil,283882.000000,barrels,14
2022-08-01,RFO,Residual Fuel Oil,139786.000000,barrels,12
2022-09-01,DFO,Distillate Fuel Oil,84807.000000,barrels,14
2022-09-01,RFO,Residual Fuel Oil,60423.000000,barrels,12
2022-10-01,DFO,Distillate Fuel Oil,110540.000000,barrels,14
2022-10-01,RFO,Residual Fuel Oil,45033.000000,barrels,12
2022-11-01,DFO,Distillate Fuel Oil,133862.000000,barrels,14
2022-11-01,RFO,Residual Fuel Oil,32356.000000,barrels,12
2022-12-01,DFO,Distillate Fuel Oil,1807801.000000,barrels,14
2022-12-01,RFO,Residual Fuel Oil,1019969.000000,barrels,12
2023-01-01,DFO,Distillate Fuel Oil,157868.000000,barrels,14
2023-01-01,RFO,Residual Fuel Oil,45119.000000,barrels,12
2023-02-01,DFO,Distillate Fuel Oil,383820.000000,barrels,14
2023-02-01,RFO,Residual Fuel Oil,520954.000000,barrels,12
2023-03-01,DFO,Distillate Fuel Oil,90995.000000,barrels,14
2023-03-01,RFO,Residual Fuel Oil,52862.000000,barrels,12
2023-04-01,DFO,Distillate Fuel Oil,95479.000000,barrels,14
2023-04-01,RFO,Residual Fuel Oil,27258.000000,barrels,12
2023-05-01,DFO,Distillate Fuel Oil,119629.000000,barrels,14
2023-05-01,RFO,Residual Fuel Oil,12305.000000,barrels,12
2023-06-01,DFO,Distillate Fuel Oil,98732.000000,barrels,14
2023-06-01,RFO,Residual Fuel Oil,58383.000000,barrels,12
2023-07-01,DFO,Distillate Fuel Oil,107042.000000,barrels,14
2023-07-01,RFO,Residual Fuel Oil,140558.000000,barrels,12
2023-08-01,DFO,Distillate Fuel Oil,79941.000000,barrels,14
2023-08-01,RFO,Residual Fuel Oil,50699.000000,barrels,12
2023-09-01,DFO,Distillate Fuel Oil,98818.000000,barrels,14
2023-09-01,RFO,Residual Fuel Oil,118218.000000,barrels,12
2023-10-01,DFO,Distillate Fuel Oil,95543.000000,barrels,14
2023-10-01,RFO,Residual Fuel Oil,161529.000000,barrels,12
2023-11-01,DFO,Distillate Fuel Oil,138282.000000,barrels,14
2023-11-01,RFO,Residual Fuel Oil,40668.000000,barrels,12
2023-12-01,DFO,Distillate Fuel Oil,174795.000000,barrels,14
2023-12-01,RFO,Residual Fuel Oil,35569.000000,barrels,12
2024-01-01,DFO,Distillate Fuel Oil,399255.000000,barrels,14
2024-01-01,RFO,Residual Fuel Oil,304699.000000,barrels,12
2024-02-01,DFO,Distillate Fuel Oil,100472.000000,barrels,14
2024-02-01,RFO,Residual Fuel Oil,39259.000000,barrels,12
2024-03-01,DFO,Distillate Fuel Oil,126425.000000,barrels,14
2024-03-01,RFO,Residual Fuel Oil,15739.000000,barrels,12
2024-04-01,DFO,Distillate Fuel Oil,226908.000000,barrels,14
2024-04-01,RFO,Residual Fuel Oil,17987.000000,barrels,12
2024-05-01,DFO,Distillate Fuel Oil,215141.000000,barrels,14
2024-05-01,RFO,Residual Fuel Oil,27681.000000,barrels,12
2024-06-01,DFO,Distillate Fuel Oil,220757.000000,barrels,14
2024-06-01,RFO,Residual Fuel Oil,93993.000000,barrels,12
2024-07-01,DFO,Distillate Fuel Oil,345217.000000,barrels,14
2024-07-01,RFO,Residual Fuel Oil,110683.000000,barrels,12
2024-08-01,DFO,Distillate Fuel Oil,192454.000000,barrels,14
2024-08-01,RFO,Residual Fuel Oil,41529.000000,barrels,12
2024-09-01,DFO,Distillate Fuel Oil,59358.000000,barrels,14
2024-09-01,RFO,Residual Fuel Oil,11446.000000,barrels,12
2024-10-01,DFO,Distillate Fuel Oil,110167.000000,barrels,14
2024-10-01,RFO,Residual Fuel Oil,13921.000000,barrels,12
2024-11-01,DFO,Distillate Fuel Oil,73775.000000,barrels,14
2024-11-01,RFO,Residual Fuel Oil,29819.000000,barrels,12
2024-12-01,DFO,Distillate Fuel Oil,412251.000000,barrels,14
2024-12-01,RFO,Residual Fuel Oil,237339.000000,barrels,12
2025-01-01,DFO,Distillate Fuel Oil,1428515.000000,barrels,14
2025-01-01,RFO,Residual Fuel Oil,701128.000000,barrels,11
2025-02-01,DFO,Distillate Fuel Oil,333378.000000,barrels,14
2025-02-01,RFO,Residual Fuel Oil,181548.000000,barrels,11
2025-03-01,DFO,Distillate Fuel Oil,95666.000000,barrels,14
2025-03-01,RFO,Residual Fuel Oil,23857.000000,barrels,12
2025-04-01,DFO,Distillate Fuel Oil,75604.000000,barrels,14
2025-04-01,RFO,Residual Fuel Oil,16218.000000,barrels,12
2025-05-01,DFO,Distillate Fuel Oil,89641.000000,barrels,14
2025-05-01,RFO,Residual Fuel Oil,13438.000000,barrels,12
2025-06-01,DFO,Distillate Fuel Oil,199823.000000,barrels,14
2025-06-01,RFO,Residual Fuel Oil,145480.000000,barrels,11
2025-07-01,DFO,Distillate Fuel Oil,197807.000000,barrels,14
2025-07-01,RFO,Residual Fuel Oil,211585.000000,barrels,11
2025-08-01,DFO,Distillate Fuel Oil,150195.000000,barrels,14
2025-08-01,RFO,Residual Fuel Oil,73666.000000,barrels,11
2025-09-01,DFO,Distillate Fuel Oil,68328.000000,barrels,14
2025-09-01,RFO,Residual Fuel Oil,13327.000000,barrels,12
2025-10-01,DFO,Distillate Fuel Oil,62510.000000,barrels,14
2025-10-01,RFO,Residual Fuel Oil,21706.000000,barrels,12
2025-11-01,DFO,Distillate Fuel Oil,125312.000000,barrels,14
2025-11-01,RFO,Residual Fuel Oil,19022.000000,barrels,11
2025-12-01,DFO,Distillate Fuel Oil,420704.000000,barrels,14
2025-12-01,RFO,Residual Fuel Oil,867643.000000,barrels,11
2026-01-01,DFO,Distillate Fuel Oil,2911946.000000,barrels,14
2026-01-01,RFO,Residual Fuel Oil,1670912.000000,barrels,11
2026-02-01,DFO,Distillate Fuel Oil,1673530.000000,barrels,14
2026-02-01,RFO,Residual Fuel Oil,777504.000000,barrels,11
2026-03-01,DFO,Distillate Fuel Oil,115081.000000,barrels,14
2026-03-01,RFO,Residual Fuel Oil,27282.000000,barrels,12
2026-04-01,DFO,Distillate Fuel Oil,104976.000000,barrels,14
2026-04-01,RFO,Residual Fuel Oil,22461.000000,barrels,12
