week_ending,commodity,padd1_imports_total_kbd,padd1_imports_canada_kbd,padd1_imports_non_canada_kbd,padd1_exports_total_kbd,padd1ab_imports_total_kbd,padd1ab_imports_canada_kbd,padd1ab_imports_non_canada_kbd,padd1ab_exports_total_kbd,padd1ab_exports_europe_kbd,padd1ab_exports_other_kbd,padd1c_imports_total_kbd,padd1c_imports_canada_kbd,padd1c_imports_non_canada_kbd,padd1c_imports_intra_us_kbd,padd1c_exports_total_kbd,padd3_to_padd1_kbd,padd3_to_padd1ab_kbd,padd3_to_padd1c_kbd,padd3_to_padd5_kbd,padd3_exports_total_kbd,padd3_exports_africa_kbd,padd3_exports_europe_kbd,padd3_exports_latin_america_kbd,padd3_exports_other_kbd,padd5_imports_total_kbd,padd5_exports_total_kbd,us_imports_total_kbd,us_imports_canada_kbd,us_imports_non_canada_kbd,us_exports_total_kbd,us_exports_europe_kbd,us_exports_latin_america_kbd
2018-07-27,diesel,0.0,0.0,0.0,0.0,17.86,17.86,0.0,0.0,0.0,0.0,27.86,27.86,0.0,0.0,0.0,116.58,0.0,116.58,0.0,902.75,73.21,173.28,656.26,0.0,0.0,115.99,45.72,45.72,0.0,1018.74,173.28,759.07
2018-08-03,diesel,0.0,0.0,0.0,0.0,156.10999999999999,82.35,73.75999999999999,0.0,0.0,0.0,9.29,9.29,0.0,0.0,0.0,167.28,0.0,167.28,0.0,1076.74,174.51000000000002,117.18,781.74,3.3099999999999454,9.1,25.39,174.48999999999998,91.63,82.85999999999999,1102.1299999999999,117.18,807.13
2018-08-10,diesel,0.0,0.0,0.0,0.0,86.39000000000001,76.43,9.960000000000008,47.35,47.35,0.0,0.0,0.0,0.0,0.0,0.0,197.16,0.0,197.16,0.0,998.6099999999999,0.0,242.27999999999997,738.17,18.159999999999968,0.0,8.43,86.39000000000001,76.43,9.960000000000008,1054.38,289.63,746.59
2018-08-17,diesel,0.0,0.0,0.0,0.0,46.22,37.65,8.57,0.0,0.0,0.0,29.43,0.0,29.43,0.0,0.0,162.91,9.16,153.75,0.0,1099.5200000000002,0.0,308.37,782.24,8.910000000000196,23.53,38.96,99.18,61.18,38.00000000000001,1138.4800000000002,308.37,821.2
2018-08-24,diesel,0.0,0.0,0.0,0.0,285.95,99.26,186.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.03,0.0,187.03,0.0,1038.48,111.83,43.36,852.02,31.269999999999982,23.24,88.17,309.19000000000005,99.26,209.93000000000006,1126.65,43.36,940.19
2018-08-31,diesel,0.0,0.0,0.0,0.0,189.76000000000002,42.93,146.83,36.38,0.0,36.38,0.0,0.0,0.0,0.0,0.0,136.56,3.1,133.46,0.0,1003.54,0.0,234.32999999999998,769.21,0.0,7.1,118.16,196.86,42.93,153.93,1158.0800000000002,234.32999999999998,887.37
2018-09-07,diesel,0.0,0.0,0.0,0.0,27.12,22.43,4.690000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.87,24.5,106.37,0.0,887.93,29.76,194.16,650.51,13.5,5.76,19.05,37.17,28.19,8.98,906.9799999999999,194.16,669.56
2018-09-14,diesel,0.0,0.0,0.0,0.0,104.43,68.76,35.67,17.06,17.06,0.0,0.0,0.0,0.0,0.0,0.0,154.27,0.0,154.27,0.0,1129.3,44.33,221.34,860.64,2.990000000000009,12.43,82.85,116.86,68.76,48.099999999999994,1229.22,238.41,943.49
2018-09-21,diesel,0.0,0.0,0.0,0.0,73.89,37.96,35.93,52.519999999999996,24.66,27.859999999999996,13.14,13.14,0.0,0.0,0.0,162.04,0.0,162.04,0.0,953.52,108.56,50.21,793.1,1.6499999999999773,21.61,29.32,171.95,72.71,99.24,1035.35,74.87,850.27
2018-09-28,diesel,0.0,0.0,0.0,0.0,117.82,71.32,46.5,47.41,47.41,0.0,65.09,29.31,35.78,0.0,0.0,55.59,0.0,55.59,0.0,1147.15,43.49,111.04,992.62,1.1368683772161603e-13,0.0,89.86,182.91,100.63,82.28,1284.42,158.45,1036.75
2018-10-05,diesel,0.0,0.0,0.0,0.0,150.34,17.48,132.86,0.0,0.0,0.0,23.71,0.0,23.71,0.0,0.0,112.25,0.0,112.25,0.0,971.9799999999999,0.0,137.93,834.05,0.0,0.0,5.04,221.51,17.48,204.03,977.03,137.93,839.1
2018-10-12,diesel,0.0,0.0,0.0,0.0,44.83,44.83,0.0,0.0,0.0,0.0,57.24,49.34,7.899999999999999,0.0,0.0,40.31,0.0,40.31,0.0,965.22,0.0,130.97,820.3,13.950000000000045,29.28,73.54,131.35000000000002,94.17,37.18000000000002,1038.75,130.97,893.83
2018-10-19,diesel,0.0,0.0,0.0,0.0,148.17000000000002,42.0,106.17000000000002,9.13,0.0,9.13,17.86,17.86,0.0,0.0,0.0,97.43,0.0,97.43,0.0,1256.42,0.0,72.17,1172.81,11.440000000000055,10.71,19.9,212.61,70.57,142.04000000000002,1285.45,72.17,1201.84
2018-10-26,diesel,0.0,0.0,0.0,0.0,117.59,45.7,71.89,21.91,0.0,21.91,12.73,12.73,0.0,0.0,0.0,108.24,0.0,108.24,0.0,918.13,43.61,104.15,759.42,10.950000000000045,20.05,46.69,150.37,78.48,71.89,986.72,104.15,806.1
2018-11-02,diesel,0.0,0.0,0.0,0.0,104.99,3.71,101.28,10.79,0.0,10.79,0.0,0.0,0.0,0.0,0.0,72.78,0.0,72.78,0.0,1169.0599999999997,42.37,153.15,973.54,0.0,0.0,13.63,104.99,3.71,101.28,1193.4799999999998,153.15,987.17
2018-11-09,diesel,0.0,0.0,0.0,0.0,170.37,37.86,132.51,0.0,0.0,0.0,38.66,38.66,0.0,0.0,0.0,47.7,0.0,47.7,0.0,950.2699999999999,39.01,131.78,727.67,51.809999999999945,0.0,78.27,209.03,76.52,132.51,1028.54,131.78,805.94
2018-11-16,diesel,0.0,0.0,0.0,0.0,67.19,58.44,8.75,112.72,69.92,42.8,0.0,0.0,0.0,0.0,0.0,93.21,0.0,93.21,0.0,1113.31,36.52,356.62,680.24,39.92999999999995,49.35,44.31,180.12,107.78,72.34,1270.34,426.54,729.88
2018-11-23,diesel,0.0,0.0,0.0,0.0,89.67,25.71,63.96,28.6,0.0,28.6,74.99000000000001,34.32,40.67000000000001,0.0,0.0,146.2,0.0,146.2,0.0,1072.74,42.07,254.71999999999997,715.91,60.04000000000008,0.0,83.2,164.66,60.03,104.63,1184.55,303.84999999999997,749.99
2018-11-30,diesel,0.0,0.0,0.0,0.0,183.62,32.48,151.14000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.73,169.83,0.0,169.83,0.0,1143.8400000000001,114.27,172.37,857.2,1.1368683772161603e-13,0.0,118.06,189.96,32.48,157.48000000000002,1272.64,183.10000000000002,975.27
2018-12-07,diesel,0.0,0.0,0.0,0.0,52.87,52.87,0.0,0.0,0.0,0.0,40.03,0.0,40.03,0.0,0.0,184.54,0.0,184.54,0.0,925.3000000000001,45.95,238.16,634.37,6.82000000000005,0.0,161.1,111.18,52.87,58.31000000000001,1086.4,238.16,795.47
2018-12-14,diesel,0.0,0.0,0.0,0.0,81.53,41.29,40.24,12.49,0.0,12.49,0.0,0.0,0.0,0.0,0.0,93.17,0.0,93.17,0.0,1316.1100000000001,47.18,347.85,840.63,80.45000000000005,14.69,96.47,96.22,41.29,54.93,1425.0700000000002,347.85,937.1
2018-12-21,diesel,0.0,0.0,0.0,0.0,136.02999999999997,6.93,129.09999999999997,0.0,0.0,0.0,46.71,0.0,46.71,0.0,0.0,193.9,10.84,183.06,0.0,1101.77,44.99,171.72,779.64,105.41999999999996,6.07,61.95,200.25,6.93,193.32,1163.72,171.72,837.24
2018-12-28,diesel,0.0,0.0,0.0,0.0,140.39,115.61,24.779999999999987,0.0,0.0,0.0,46.53,0.0,46.53,0.0,0.0,78.92,0.0,78.92,0.0,1065.8400000000001,0.0,174.46,890.25,1.1300000000001091,0.0,142.02,186.93,115.61,71.32000000000001,1207.8600000000001,174.46,1032.27
2019-01-04,diesel,0.0,0.0,0.0,0.0,102.13,57.09,45.03999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.1,0.0,266.1,0.0,716.83,0.0,127.59,583.75,5.490000000000009,0.0,181.68,102.13,57.09,45.03999999999999,898.5100000000001,127.59,737.38
2019-01-11,diesel,0.0,0.0,0.0,0.0,352.36,73.42,278.94,0.0,0.0,0.0,49.86,0.0,49.86,0.0,0.0,91.8,0.0,91.8,0.0,1117.6599999999999,0.0,184.53,901.29,31.839999999999918,45.92,109.61,448.15000000000003,86.21,361.94000000000005,1227.27,184.53,1003.8
2019-01-18,diesel,0.0,0.0,0.0,0.0,236.34,62.59,173.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.89,0.0,169.89,0.0,997.29,0.0,128.12,857.65,11.519999999999982,2.85,62.96,239.19,65.44,173.75,1060.2400000000002,128.12,909.94
2019-01-25,diesel,0.0,0.0,0.0,0.0,232.87,66.12,166.75,0.0,0.0,0.0,17.29,0.0,17.29,0.0,0.0,197.74,0.0,197.74,0.0,1001.28,0.0,132.91,866.61,1.759999999999991,0.0,180.36,250.16000000000003,66.12,184.04000000000002,1181.64,132.91,1046.97
2019-02-01,diesel,0.0,0.0,0.0,0.0,168.96,42.86,126.10000000000001,18.31,0.0,18.31,41.0,0.0,41.0,0.0,0.0,99.95,0.0,99.95,0.0,956.46,40.5,88.16,824.54,3.2600000000001046,0.0,100.24,228.66,42.86,185.8,1075.01,88.16,916.7
2019-02-08,diesel,0.0,0.0,0.0,0.0,435.74,59.66,376.08000000000004,5.17,0.0,5.17,78.75,0.0,78.75,0.0,0.0,238.3,0.0,238.3,0.0,534.9499999999999,0.0,70.93,435.1,28.919999999999902,0.0,57.48,514.4899999999999,59.66,454.8299999999999,597.5899999999999,70.93,492.57
2019-02-15,diesel,0.0,0.0,0.0,0.0,326.33,110.94,215.39,0.0,0.0,0.0,18.37,0.0,18.37,0.0,0.0,161.29,5.42,155.87,0.0,925.6800000000001,0.0,125.58,794.35,5.75,0.0,142.38,344.7,110.94,233.76,1068.06,125.58,936.73
2019-02-22,diesel,0.0,0.0,0.0,0.0,183.22,67.89,115.33,0.0,0.0,0.0,40.31,0.0,40.31,0.0,0.0,70.54,0.0,70.54,0.0,629.98,0.0,42.64,536.59,50.75,22.48,158.17,246.01000000000002,67.89,178.12,788.15,42.64,684.1
2019-03-01,diesel,0.0,0.0,0.0,0.0,234.02999999999997,59.14,174.89,119.73,106.87,12.86,34.51,34.51,0.0,0.0,0.0,115.63,0.0,115.63,0.0,865.01,0.0,214.76999999999998,646.17,4.07000000000005,8.45,43.02,276.99,102.1,174.89000000000001,1027.75,321.63,689.19
2019-03-08,diesel,0.0,0.0,0.0,0.0,142.10999999999999,100.35,41.75999999999999,115.7,72.67,43.03,14.29,14.29,0.0,0.0,36.76,96.88,0.0,96.88,0.0,728.57,0.0,94.97,629.76,3.840000000000032,0.0,105.76,156.4,114.64,41.760000000000005,986.8,204.41,778.55
2019-03-15,diesel,0.0,0.0,0.0,0.0,42.98,42.98,0.0,19.19,0.0,19.19,47.24,18.57,28.67,0.0,0.0,172.07999999999998,9.16,162.92,0.0,754.01,46.51,0.0,681.49,26.00999999999999,0.0,167.53,90.22,61.55,28.67,940.73,17.95,850.26
2019-03-22,diesel,0.0,0.0,0.0,0.0,188.86,143.9,44.96000000000001,0.0,0.0,0.0,16.91,16.91,0.0,0.0,0.0,79.74,0.0,79.74,0.0,921.2499999999999,0.0,263.1,645.72,12.429999999999836,12.74,135.17,218.5,173.54,44.96000000000001,1056.41,263.1,780.88
2019-03-29,diesel,0.0,0.0,0.0,0.0,95.10999999999999,83.07,12.039999999999992,0.0,0.0,0.0,15.68,15.68,0.0,0.0,0.0,192.67,0.0,192.67,0.0,768.17,0.0,165.65,592.11,10.409999999999968,33.01,100.11,143.8,98.75,45.05000000000001,868.28,165.65,692.22
