week_ending,commodity,imports_total_kbd,imports_canada_kbd,imports_latin_america_kbd,imports_europe_kbd,imports_asia_kbd,imports_middle_east_kbd,imports_africa_kbd,imports_other_kbd,exports_total_kbd,exports_canada_kbd,exports_latin_america_kbd,exports_europe_kbd,exports_asia_kbd,exports_middle_east_kbd,exports_africa_kbd,exports_other_kbd,net_imports_kbd,net_exports_kbd
2021-11-05,jet,125.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,141.66071428571428,0.0,0.0,0.0,0.0,0.0,0.0,141.66071428571428,-16.66071428571429,16.66071428571429
2021-11-12,jet,189.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,148.299,0.0,0.0,0.0,0.0,0.0,0.0,148.299,40.700999999999986,-40.700999999999986
2021-11-19,jet,85.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,148.299,0.0,0.0,0.0,0.0,0.0,0.0,148.299,-63.299000000000014,63.299000000000014
2021-11-26,jet,187.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,148.299,0.0,0.0,0.0,0.0,0.0,0.0,148.299,38.700999999999986,-38.700999999999986
2021-12-03,jet,45.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,157.3367142857143,0.0,0.0,0.0,0.0,0.0,0.0,157.3367142857143,-112.33671428571428,112.33671428571428
2021-12-10,jet,259.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,169.387,0.0,0.0,0.0,0.0,0.0,0.0,169.387,89.61299999999999,-89.61299999999999
2021-12-17,jet,51.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,169.387,0.0,0.0,0.0,0.0,0.0,0.0,169.387,-118.38700000000001,118.38700000000001
2021-12-24,jet,118.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,169.387,0.0,0.0,0.0,0.0,0.0,0.0,169.387,-51.387,51.387
2021-12-31,jet,110.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,169.387,0.0,0.0,0.0,0.0,0.0,0.0,169.387,-59.387,59.387
2022-01-07,jet,78.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,135.935,0.0,0.0,0.0,0.0,0.0,0.0,135.935,-57.935,57.935
2022-01-14,jet,177.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,135.935,0.0,0.0,0.0,0.0,0.0,0.0,135.935,41.065,-41.065
2022-01-21,jet,198.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,135.935,0.0,0.0,0.0,0.0,0.0,0.0,135.935,62.065,-62.065
2022-01-28,jet,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,135.935,0.0,0.0,0.0,0.0,0.0,0.0,135.935,-7.935000000000002,7.935000000000002
2022-02-04,jet,52.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,143.56414285714285,0.0,0.0,0.0,0.0,0.0,0.0,143.56414285714285,-91.56414285714287,91.56414285714287
2022-02-11,jet,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,149.286,0.0,0.0,0.0,0.0,0.0,0.0,149.286,-99.28599999999999,99.28599999999999
2022-02-18,jet,119.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,149.286,0.0,0.0,0.0,0.0,0.0,0.0,149.286,-30.286,30.286
2022-02-25,jet,168.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,149.286,0.0,0.0,0.0,0.0,0.0,0.0,149.286,18.714,-18.714
2022-03-04,jet,146.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,165.21457142857142,0.0,0.0,0.0,0.0,0.0,0.0,165.21457142857142,-19.21457142857143,19.21457142857143
