week_ending,commodity,imports_total_kbd,imports_canada_kbd,imports_latin_america_kbd,imports_europe_kbd,imports_asia_kbd,imports_middle_east_kbd,imports_africa_kbd,imports_other_kbd,exports_total_kbd,exports_canada_kbd,exports_latin_america_kbd,exports_europe_kbd,exports_asia_kbd,exports_middle_east_kbd,exports_africa_kbd,exports_other_kbd,net_imports_kbd,net_exports_kbd
2018-12-14,diesel,139.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.0,-1112.0,1112.0
2018-12-21,diesel,204.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,1406.0,0.0,0.0,0.0,0.0,0.0,0.0,1406.0,-1202.0,1202.0
2018-12-28,diesel,195.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.0,-1027.0,1027.0
2019-01-04,diesel,261.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,1353.0,0.0,0.0,0.0,0.0,0.0,0.0,1353.0,-1092.0,1092.0
2019-01-11,diesel,378.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,917.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,-539.0,539.0
2019-01-18,diesel,355.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,979.0,0.0,0.0,0.0,0.0,0.0,0.0,979.0,-624.0,624.0
2019-01-25,diesel,135.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,1192.0,0.0,0.0,0.0,0.0,0.0,0.0,1192.0,-1057.0,1057.0
2019-02-01,diesel,459.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,1229.0,-770.0,770.0
2019-02-08,diesel,438.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,1265.0,0.0,0.0,0.0,0.0,0.0,0.0,1265.0,-827.0,827.0
2019-02-15,diesel,431.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,1191.0,0.0,0.0,0.0,0.0,0.0,0.0,1191.0,-760.0,760.0
2019-02-22,diesel,331.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1114.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.0,-783.0,783.0
2019-03-01,diesel,246.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,1362.0,0.0,0.0,0.0,0.0,0.0,0.0,1362.0,-1116.0,1116.0
2019-03-08,diesel,238.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,1086.0,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,-848.0,848.0
2019-03-15,diesel,102.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,909.0,-807.0,807.0
2019-03-22,diesel,195.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,-1005.0,1005.0
