month,commodity,padd1_imports_total_kbd,padd1_imports_canada_kbd,padd1_imports_non_canada_kbd,padd1_exports_total_kbd,padd1ab_imports_total_kbd,padd1ab_imports_canada_kbd,padd1ab_imports_non_canada_kbd,padd1ab_exports_total_kbd,padd1ab_exports_europe_kbd,padd1ab_exports_other_kbd,padd1c_imports_total_kbd,padd1c_imports_canada_kbd,padd1c_imports_non_canada_kbd,padd1c_imports_intra_us_kbd,padd1c_exports_total_kbd,padd3_to_padd1_kbd,padd3_to_padd1ab_kbd,padd3_to_padd1c_kbd,padd3_to_padd5_kbd,padd3_exports_total_kbd,padd3_exports_africa_kbd,padd3_exports_europe_kbd,padd3_exports_latin_america_kbd,padd3_exports_other_kbd,padd5_imports_total_kbd,padd5_exports_total_kbd,us_imports_total_kbd,us_imports_canada_kbd,us_imports_non_canada_kbd,us_exports_total_kbd,us_exports_europe_kbd,us_exports_latin_america_kbd
2020-04,diesel,0.0,0.0,0.0,0.0,184.76,110.53,74.22999999999999,11.51,0.0,11.51,143.05,16.15,126.9,126.9,,145.35999999999999,10.48,134.88,0.0,573.55,,0.0,445.31,128.23999999999995,2.96,126.22,204.07999999999998,129.64,74.44,711.29,0.0,545.44
2020-05,diesel,0.0,0.0,0.0,0.0,134.38,104.58,29.799999999999997,10.9,0.0,10.9,97.22,,97.22,88.9,,106.16,17.74,88.42,0.0,529.23,,0.0,427.8,101.43,12.47,76.44,156.13000000000002,105.54,50.59000000000002,616.56,0.0,483.21
2020-06,diesel,0.0,0.0,0.0,0.0,84.25000000000001,64.37,19.88000000000001,129.72,0.0,129.72,170.42,,170.42,143.14,,152.66,,152.66,0.0,817.8699999999999,,0.0,619.02,198.8499999999999,13.97,21.18,125.49,76.75,48.739999999999995,968.7799999999999,0.0,641.49
2020-07,diesel,0.0,0.0,0.0,0.0,76.38,64.49,11.89,10.6,0.0,10.6,184.99,,184.99,170.29,,178.15,,178.15,0.0,986.7900000000002,,0.0,722.62,264.1700000000002,20.2,29.75,111.27,81.61,29.659999999999997,1027.14,0.0,752.37
2020-08,diesel,0.0,0.0,0.0,0.0,108.33000000000001,50.44,57.890000000000015,11.14,0.0,11.14,99.38,,99.38,99.38,3.97,90.66000000000001,4.48,86.18,0.0,961.9000000000001,,0.0,683.4,278.5000000000001,6.79,79.99,119.09000000000002,55.79,63.30000000000002,1057.0,0.0,767.36
2020-09,diesel,0.0,0.0,0.0,0.0,138.17,71.26,66.90999999999998,28.63,0.0,28.63,122.61999999999999,,122.61999999999999,104.74,,100.49000000000001,7.4,93.09,0.0,804.8700000000001,,0.0,607.87,197.0000000000001,,58.2,156.04000000000002,71.26,84.78000000000002,891.71,0.0,661.46
2020-10,diesel,0.0,0.0,0.0,0.0,230.57,91.77,138.8,3.56,0.0,3.56,92.5,4.84,87.66,81.17,,72.6,2.39,70.21,0.0,733.2,,0.0,645.89,87.31000000000006,22.13,39.8,266.98,99.43,167.55,776.5600000000002,0.0,685.69
2020-11,diesel,0.0,0.0,0.0,0.0,264.2,82.18,182.01999999999998,7.76,0.0,7.76,98.95,,98.95,81.11,,104.77000000000001,3.62,101.15,0.0,725.86,,0.0,699.7,26.159999999999968,2.88,39.09,284.91999999999996,82.18,202.73999999999995,772.71,0.0,734.95
2020-12,diesel,0.0,0.0,0.0,0.0,396.88000000000005,120.42,276.46000000000004,9.63,0.0,9.63,153.60999999999999,10.48,143.13,114.28,5.86,97.64,2.75,94.89,0.0,742.9100000000001,,0.0,678.26,64.65000000000009,11.97,45.6,452.42000000000013,130.91,321.5100000000001,804.0,0.0,733.17
2021-01,diesel,0.0,0.0,0.0,0.0,288.98,104.03,184.95000000000002,8.649999999999999,0.0,8.649999999999999,118.89000000000001,,118.89000000000001,83.67,,100.33,5.52,94.81,0.0,672.0,,0.0,625.1,46.89999999999998,8.48,61.96,332.66999999999996,104.03,228.63999999999996,742.62,0.0,675.45
