month,commodity,imports_total_kbd,imports_canada_kbd,imports_latin_america_kbd,imports_europe_kbd,imports_asia_kbd,imports_middle_east_kbd,imports_africa_kbd,imports_other_kbd,exports_total_kbd,exports_canada_kbd,exports_latin_america_kbd,exports_europe_kbd,exports_asia_kbd,exports_middle_east_kbd,exports_africa_kbd,exports_other_kbd,net_imports_kbd,net_exports_kbd
2019-01-01,diesel,318.51612903225805,0.0,0.0,0.0,0.0,0.0,0.0,318.51612903225805,1109.741935483871,0.0,0.0,0.0,0.0,0.0,0.0,1109.741935483871,-791.2258064516129,791.2258064516129
2019-02-01,diesel,369.10714285714283,0.0,0.0,0.0,0.0,0.0,0.0,369.10714285714283,1228.25,0.0,0.0,0.0,0.0,0.0,0.0,1228.25,-859.1428571428571,859.1428571428571
2019-03-01,diesel,167.58064516129033,0.0,0.0,0.0,0.0,0.0,0.0,167.58064516129033,1112.1290322580646,0.0,0.0,0.0,0.0,0.0,0.0,1112.1290322580646,-944.5483870967741,944.5483870967741
2019-04-01,diesel,135.2,0.0,0.0,0.0,0.0,0.0,0.0,135.2,1439.8333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1439.8333333333333,-1304.6333333333334,1304.6333333333334
2019-05-01,diesel,108.29032258064517,0.0,0.0,0.0,0.0,0.0,0.0,108.29032258064517,1346.4193548387098,0.0,0.0,0.0,0.0,0.0,0.0,1346.4193548387098,-1238.1290322580646,1238.1290322580646
2019-06-01,diesel,109.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,109.83333333333333,1453.6,0.0,0.0,0.0,0.0,0.0,0.0,1453.6,-1343.7666666666667,1343.7666666666667
2019-07-01,diesel,146.7741935483871,0.0,0.0,0.0,0.0,0.0,0.0,146.7741935483871,1278.5806451612902,0.0,0.0,0.0,0.0,0.0,0.0,1278.5806451612902,-1131.8064516129032,1131.8064516129032
2019-08-01,diesel,150.29032258064515,0.0,0.0,0.0,0.0,0.0,0.0,150.29032258064515,1511.6774193548388,0.0,0.0,0.0,0.0,0.0,0.0,1511.6774193548388,-1361.3870967741937,1361.3870967741937
2019-09-01,diesel,84.73333333333333,0.0,0.0,0.0,0.0,0.0,0.0,84.73333333333333,1364.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1364.6666666666667,-1279.9333333333334,1279.9333333333334
2019-10-01,diesel,181.29032258064515,0.0,0.0,0.0,0.0,0.0,0.0,181.29032258064515,1118.1290322580646,0.0,0.0,0.0,0.0,0.0,0.0,1118.1290322580646,-936.8387096774194,936.8387096774194
2019-11-01,diesel,233.06666666666666,0.0,0.0,0.0,0.0,0.0,0.0,233.06666666666666,1136.3666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1136.3666666666666,-903.3,903.3
2019-12-01,diesel,201.38709677419354,0.0,0.0,0.0,0.0,0.0,0.0,201.38709677419354,1193.1612903225807,0.0,0.0,0.0,0.0,0.0,0.0,1193.1612903225807,-991.7741935483871,991.7741935483871
2020-01-01,diesel,213.61290322580646,0.0,0.0,0.0,0.0,0.0,0.0,213.61290322580646,1192.032258064516,0.0,0.0,0.0,0.0,0.0,0.0,1192.032258064516,-978.4193548387096,978.4193548387096
2020-02-01,diesel,138.79310344827587,0.0,0.0,0.0,0.0,0.0,0.0,138.79310344827587,1352.103448275862,0.0,0.0,0.0,0.0,0.0,0.0,1352.103448275862,-1213.3103448275863,1213.3103448275863
2020-03-01,diesel,197.51612903225808,0.0,0.0,0.0,0.0,0.0,0.0,197.51612903225808,1391.258064516129,0.0,0.0,0.0,0.0,0.0,0.0,1391.258064516129,-1193.741935483871,1193.741935483871
2020-04-01,diesel,238.3,0.0,0.0,0.0,0.0,0.0,0.0,238.3,1195.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.0,-956.7,956.7
2020-05-01,diesel,210.3548387096774,0.0,0.0,0.0,0.0,0.0,0.0,210.3548387096774,866.741935483871,0.0,0.0,0.0,0.0,0.0,0.0,866.741935483871,-656.3870967741935,656.3870967741935
2020-06-01,diesel,124.73333333333333,0.0,0.0,0.0,0.0,0.0,0.0,124.73333333333333,1232.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1232.3333333333333,-1107.6,1107.6
2020-07-01,diesel,104.06451612903226,0.0,0.0,0.0,0.0,0.0,0.0,104.06451612903226,1285.032258064516,0.0,0.0,0.0,0.0,0.0,0.0,1285.032258064516,-1180.967741935484,1180.967741935484
2020-08-01,diesel,126.35483870967742,0.0,0.0,0.0,0.0,0.0,0.0,126.35483870967742,1297.6129032258063,0.0,0.0,0.0,0.0,0.0,0.0,1297.6129032258063,-1171.258064516129,1171.258064516129
2020-09-01,diesel,150.43333333333334,0.0,0.0,0.0,0.0,0.0,0.0,150.43333333333334,1165.4666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1165.4666666666667,-1015.0333333333333,1015.0333333333333
2020-10-01,diesel,242.16129032258064,0.0,0.0,0.0,0.0,0.0,0.0,242.16129032258064,1111.5806451612902,0.0,0.0,0.0,0.0,0.0,0.0,1111.5806451612902,-869.4193548387096,869.4193548387096
2020-11-01,diesel,307.26666666666665,0.0,0.0,0.0,0.0,0.0,0.0,307.26666666666665,963.2333333333333,0.0,0.0,0.0,0.0,0.0,0.0,963.2333333333333,-655.9666666666667,655.9666666666667
2020-12-01,diesel,445.5806451612903,0.0,0.0,0.0,0.0,0.0,0.0,445.5806451612903,1130.5483870967741,0.0,0.0,0.0,0.0,0.0,0.0,1130.5483870967741,-684.9677419354839,684.9677419354839
2021-01-01,diesel,438.7096774193548,0.0,0.0,0.0,0.0,0.0,0.0,438.7096774193548,906.8709677419355,0.0,0.0,0.0,0.0,0.0,0.0,906.8709677419355,-468.16129032258067,468.16129032258067
2021-02-01,diesel,343.7857142857143,0.0,0.0,0.0,0.0,0.0,0.0,343.7857142857143,827.6428571428571,0.0,0.0,0.0,0.0,0.0,0.0,827.6428571428571,-483.85714285714283,483.85714285714283
2021-03-01,diesel,496.38709677419354,0.0,0.0,0.0,0.0,0.0,0.0,496.38709677419354,821.7741935483871,0.0,0.0,0.0,0.0,0.0,0.0,821.7741935483871,-325.38709677419354,325.38709677419354
2021-04-01,diesel,191.3,0.0,0.0,0.0,0.0,0.0,0.0,191.3,995.4,0.0,0.0,0.0,0.0,0.0,0.0,995.4,-804.1,804.1
2021-05-01,diesel,303.7096774193548,0.0,0.0,0.0,0.0,0.0,0.0,303.7096774193548,1033.8709677419354,0.0,0.0,0.0,0.0,0.0,0.0,1033.8709677419354,-730.1612903225806,730.1612903225806
2021-06-01,diesel,255.16666666666666,0.0,0.0,0.0,0.0,0.0,0.0,255.16666666666666,1165.7333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1165.7333333333333,-910.5666666666667,910.5666666666667
2021-07-01,diesel,130.48387096774192,0.0,0.0,0.0,0.0,0.0,0.0,130.48387096774192,1204.741935483871,0.0,0.0,0.0,0.0,0.0,0.0,1204.741935483871,-1074.258064516129,1074.258064516129
2021-08-01,diesel,233.41935483870967,0.0,0.0,0.0,0.0,0.0,0.0,233.41935483870967,1064.6774193548388,0.0,0.0,0.0,0.0,0.0,0.0,1064.6774193548388,-831.258064516129,831.258064516129
2021-09-01,diesel,225.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,791.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,791.3333333333334,-566.3333333333334,566.3333333333334
2021-10-01,diesel,232.3548387096774,0.0,0.0,0.0,0.0,0.0,0.0,232.3548387096774,1006.8064516129032,0.0,0.0,0.0,0.0,0.0,0.0,1006.8064516129032,-774.4516129032259,774.4516129032259
2021-11-01,diesel,270.03333333333336,0.0,0.0,0.0,0.0,0.0,0.0,270.03333333333336,939.1666666666666,0.0,0.0,0.0,0.0,0.0,0.0,939.1666666666666,-669.1333333333333,669.1333333333333
2021-12-01,diesel,259.06451612903226,0.0,0.0,0.0,0.0,0.0,0.0,259.06451612903226,1032.8387096774193,0.0,0.0,0.0,0.0,0.0,0.0,1032.8387096774193,-773.7741935483871,773.7741935483871
2022-01-01,diesel,267.93548387096774,0.0,0.0,0.0,0.0,0.0,0.0,267.93548387096774,710.6774193548387,0.0,0.0,0.0,0.0,0.0,0.0,710.6774193548387,-442.741935483871,442.741935483871
2022-02-01,diesel,406.2142857142857,0.0,0.0,0.0,0.0,0.0,0.0,406.2142857142857,880.25,0.0,0.0,0.0,0.0,0.0,0.0,880.25,-474.0357142857143,474.0357142857143
